Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
190717_A00692_0021_TL1906139_CMV2_MAN-20190712_OvationSoloRNA_L000.PE	18233905.0	297.0	9055773.0	49.66	289.22	9934765.0	9774662.0	9681315.0	83274.0	7773.0	162403.0	0.68	0.04	2.06	0.01	1.82	3653575.0	20.04	879345.0	4.82	0.0	21.93	3.54	0	3999588	645624
190717_A00692_0021_TL1906139_CMV2_MAN-20190712_OvationSoloRNA_L000.SE	12517604.0	94.0	3293162.0	26.31	101.06	1511168.0	1475928.0	1470216.0	9952.0	989.0	30011.0	1.35	0.07	2.31	0.01	1.63	3128793.0	25.0	554854.0	4.43	0.0	43.16	1.11	0	5401868	138927
190717_A00692_0021_TL1906140_CMV3_MAN-20190712_OvationSoloRNA_L000.PE	20226217.0	298.0	9490095.0	46.92	289.81	8025495.0	7898564.0	7820664.0	64392.0	5793.0	134646.0	0.68	0.03	1.88	0.01	1.67	3864630.0	19.11	939257.0	4.64	0.0	24.99	4.34	0	5054434	877801
190717_A00692_0021_TL1906140_CMV3_MAN-20190712_OvationSoloRNA_L000.SE	11296265.0	96.0	3171410.0	28.07	100.3	1057239.0	1032035.0	1014243.0	6050.0	525.0	36421.0	1.3	0.05	2.15	0.01	1.64	2687040.0	23.79	480374.0	4.25	0.0	42.04	1.85	0	4748481	208960
190717_A00692_0021_TL1906141_CMV4_MAN-20190712_OvationSoloRNA_L000.PE	18523838.0	297.0	8343517.0	45.04	289.2	9177965.0	9045120.0	8962614.0	74930.0	6796.0	133625.0	0.68	0.04	2.1	0.01	1.77	3975851.0	21.46	1095543.0	5.91	0.0	23.34	4.24	0	4323508	785419
190717_A00692_0021_TL1906141_CMV4_MAN-20190712_OvationSoloRNA_L000.SE	15053817.0	93.0	3409510.0	22.65	99.13	1625278.0	1589221.0	1580155.0	9828.0	947.0	34348.0	1.38	0.08	2.41	0.01	1.64	3990818.0	26.51	751902.0	4.99	0.0	44.56	1.29	0	6707409	194178
190717_A00692_0021_TL1906142_CMV10_MAN-20190712_OvationSoloRNA_L000.PE	22591830.0	299.0	10322332.0	45.69	289.56	11214653.0	11034711.0	10936598.0	86241.0	8403.0	183411.0	0.69	0.04	1.99	0.01	1.73	4761826.0	21.08	1105390.0	4.89	0.0	24.59	3.75	0	5555120	847162
190717_A00692_0021_TL1906142_CMV10_MAN-20190712_OvationSoloRNA_L000.SE	10079531.0	101.0	2364924.0	23.46	104.42	1119117.0	1091967.0	1079295.0	7341.0	837.0	31644.0	1.43	0.07	2.31	0.01	1.66	2492180.0	24.73	399815.0	3.97	0.0	46.49	1.36	0	4685543	137069
190717_A00692_0021_TL1906143_CMV11_MAN-20190712_OvationSoloRNA_L000.PE	19600166.0	299.0	6622662.0	33.79	289.52	6810524.0	6701954.0	6642685.0	48984.0	4483.0	114372.0	0.71	0.02	1.76	0.01	1.74	4227124.0	21.57	998870.0	5.1	0.0	34.31	5.24	0	6724508	1027002
190717_A00692_0021_TL1906143_CMV11_MAN-20190712_OvationSoloRNA_L000.SE	6606247.0	109.0	1336218.0	20.23	106.6	598296.0	582656.0	535147.0	3315.0	301.0	59533.0	1.37	0.02	1.75	0.01	1.62	1694659.0	25.65	312014.0	4.72	0.0	45.04	4.35	0	2975938	287418
190717_A00692_0021_TL1906144_CMV18_MAN-20190712_OvationSoloRNA_L000.PE	21273248.0	298.0	10058119.0	47.28	290.19	10955883.0	10819010.0	10719417.0	84374.0	8642.0	143450.0	0.67	0.03	1.87	0.01	1.67	4258722.0	20.02	1013917.0	4.77	0.0	23.93	4.0	0	5091435	851055
190717_A00692_0021_TL1906144_CMV18_MAN-20190712_OvationSoloRNA_L000.SE	10286590.0	97.0	2518062.0	24.48	102.52	1179363.0	1154505.0	1140614.0	7681.0	781.0	30287.0	1.39	0.06	2.22	0.01	1.65	2738546.0	26.62	436988.0	4.25	0.0	43.2	1.45	0	4443837	149157
190717_A00692_0021_TL1906145_CMV19_MAN-20190712_OvationSoloRNA_L000.PE	24369053.0	299.0	10130185.0	41.57	290.78	10975932.0	10805989.0	10690291.0	88995.0	8306.0	188340.0	0.65	0.02	1.73	0.01	1.71	5773135.0	23.69	1608376.0	6.6	0.0	23.96	4.18	0	5838745	1018612
190717_A00692_0021_TL1906145_CMV19_MAN-20190712_OvationSoloRNA_L000.SE	10355972.0	99.0	2237559.0	21.61	105.62	1074741.0	1052817.0	1042618.0	7153.0	680.0	24290.0	1.13	0.02	1.78	0.01	1.62	2645912.0	25.55	445477.0	4.3	0.0	47.19	1.35	0	4887212	139812
190717_A00692_0021_TL1906146_CMV35_MAN-20190712_OvationSoloRNA_L000.PE	17040133.0	297.0	7457315.0	43.76	289.09	7836893.0	7691084.0	7619019.0	66082.0	6019.0	145773.0	0.71	0.03	1.72	0.01	1.71	3771861.0	22.14	961904.0	5.64	0.0	24.54	3.91	0	4182628	666425
190717_A00692_0021_TL1906146_CMV35_MAN-20190712_OvationSoloRNA_L000.SE	12978294.0	91.0	2840585.0	21.89	98.43	1303058.0	1270964.0	1264655.0	8115.0	817.0	29471.0	1.4	0.03	1.79	0.01	1.65	3426420.0	26.4	587443.0	4.53	0.0	46.06	1.13	0	5977206	146640
190717_A00692_0021_TL1906147_Corriel_MAN-20190712_OvationSoloRNA_L000.PE	55270575.0	299.0	43308346.0	78.36	290.43	24717653.0	23832844.0	23234384.0	289385.0	32394.0	1161490.0	0.69	0.02	1.71	0.01	1.62	4660065.0	8.43	988709.0	1.79	0.0	10.37	1.06	0	5727955	585500
190717_A00692_0021_TL1906147_Corriel_MAN-20190712_OvationSoloRNA_L000.SE	13054258.0	106.0	7810247.0	59.83	105.85	1719625.0	1647952.0	1638540.0	16536.0	1924.0	62625.0	1.31	0.02	1.63	0.02	1.55	2034714.0	15.59	581806.0	4.46	0.0	19.48	0.65	0	2542649	84842
190717_A00692_0021_TL1906148_NTC-2_MAN-20190712_OvationSoloRNA_L000.PE	362941.0	297.0	38663.0	10.65	288.07	3518.0	3496.0	3458.0	27.0	0.0	33.0	0.57	0.05	1.87	0.02	1.82	1903.0	0.52	300.0	0.08	0.0	87.83	0.91	0	318772	3303
190717_A00692_0021_TL1906148_NTC-2_MAN-20190712_OvationSoloRNA_L000.SE	260437.0	101.0	30658.0	11.77	99.59	1526.0	1439.0	542.0	0.0	0.0	984.0	0.84	0.02	1.41	0.01	2.39	9793.0	3.76	2295.0	0.88	0.0	81.84	1.74	0	213159	4532
200612_A00692_0107_ML205836_CMV51_MAN-20200611_OvationSoloRNA_L000.PE	21577728.0	299.0	11638652.0	53.94	291.23	12178681.0	12038832.0	11917814.0	98453.0	9893.0	152521.0	0.51	0.02	1.64	0.01	1.56	4147431.0	19.22	1087511.0	5.04	0.0	18.56	3.25	0	4003151	700983
200612_A00692_0107_ML205836_CMV51_MAN-20200611_OvationSoloRNA_L000.SE	7879367.0	110.0	2515349.0	31.92	109.91	1106104.0	1084152.0	1063861.0	7639.0	828.0	33776.0	0.73	0.02	1.7	0.01	1.57	1705952.0	21.65	286657.0	3.64	0.0	40.5	2.29	0	3190981	180428
200612_A00692_0107_ML205837_CMV52_MAN-20200611_OvationSoloRNA_L000.PE	19252793.0	299.0	10037743.0	52.14	291.63	10417121.0	10303358.0	10194263.0	83413.0	9261.0	130184.0	0.53	0.02	1.65	0.01	1.61	3727643.0	19.36	1045944.0	5.43	0.0	20.08	2.99	0	3865825	575638
200612_A00692_0107_ML205837_CMV52_MAN-20200611_OvationSoloRNA_L000.SE	5210301.0	111.0	1701479.0	32.66	110.57	709935.0	695106.0	682073.0	5355.0	605.0	21902.0	0.76	0.02	1.8	0.01	1.69	982149.0	18.85	169641.0	3.26	0.0	43.18	2.06	0	2249705	107327
200612_A00692_0107_ML205838_CMV53_MAN-20200611_OvationSoloRNA_L000.PE	19002242.0	299.0	10542750.0	55.48	291.74	11299114.0	11182302.0	11073673.0	86644.0	8959.0	129838.0	0.54	0.03	1.85	0.01	1.71	3855678.0	20.29	1021046.0	5.37	0.0	16.1	2.75	0	3060083	522685
200612_A00692_0107_ML205838_CMV53_MAN-20200611_OvationSoloRNA_L000.SE	3830683.0	110.0	1274049.0	33.26	110.46	567884.0	555308.0	545732.0	4025.0	400.0	17727.0	0.77	0.06	2.2	0.01	1.68	776102.0	20.26	124348.0	3.25	0.0	41.05	2.18	0	1572666	83518
200612_A00692_0107_ML205839_CMV54_MAN-20200611_OvationSoloRNA_L000.PE	21755115.0	299.0	12201246.0	56.08	291.36	13011126.0	12844923.0	12703637.0	111673.0	11038.0	184778.0	0.55	0.02	1.65	0.01	1.73	3915971.0	18.0	931226.0	4.28	0.0	18.87	2.76	0	4106098	600574
200612_A00692_0107_ML205839_CMV54_MAN-20200611_OvationSoloRNA_L000.SE	6186647.0	111.0	2133537.0	34.49	110.13	941767.0	920174.0	899196.0	7230.0	784.0	34557.0	0.74	0.03	1.74	0.01	1.75	1194335.0	19.31	191769.0	3.1	0.0	40.59	2.52	0	2511106	155900
200612_A00692_0107_ML205840_CMV56_MAN-20200611_OvationSoloRNA_L000.PE	24121671.0	299.0	13553700.0	56.19	291.31	14632542.0	14463542.0	14305561.0	125437.0	12101.0	189443.0	0.57	0.04	1.89	0.01	1.67	4266135.0	17.69	973232.0	4.03	0.0	19.43	2.66	0	4686952	641652
200612_A00692_0107_ML205840_CMV56_MAN-20200611_OvationSoloRNA_L000.SE	8984117.0	110.0	3189906.0	35.51	109.82	1451057.0	1420807.0	1395676.0	11058.0	1152.0	43171.0	0.74	0.07	2.18	0.01	1.64	1689654.0	18.81	260238.0	2.9	0.0	40.42	2.37	0	3631395	212924
200612_A00692_0107_ML205841_CMV57_MAN-20200611_OvationSoloRNA_L000.PE	24033366.0	299.0	14130454.0	58.8	291.89	14893721.0	14744002.0	14586999.0	123666.0	12862.0	170194.0	0.54	0.03	1.76	0.01	1.67	4046589.0	16.84	1045363.0	4.35	0.0	17.41	2.61	0	4183757	627203
200612_A00692_0107_ML205841_CMV57_MAN-20200611_OvationSoloRNA_L000.SE	6258158.0	109.0	2152129.0	34.39	108.92	898332.0	878438.0	857699.0	7119.0	680.0	32834.0	0.77	0.05	2.12	0.01	1.72	1134637.0	18.13	185246.0	2.96	0.0	42.1	2.42	0	2634698	151448
200612_A00692_0107_ML205842_CMV58_MAN-20200611_OvationSoloRNA_L000.PE	25471264.0	299.0	16096862.0	63.2	291.78	15751146.0	15580007.0	15402172.0	137308.0	13833.0	197833.0	0.57	0.04	1.74	0.01	1.67	3986572.0	15.65	896641.0	3.52	0.0	15.42	2.21	0	3928198	562991
200612_A00692_0107_ML205842_CMV58_MAN-20200611_OvationSoloRNA_L000.SE	7191223.0	110.0	2963137.0	41.2	109.83	1206516.0	1183330.0	1163515.0	10400.0	1084.0	31517.0	0.7	0.05	2.0	0.01	1.64	1205629.0	16.77	185888.0	2.58	0.0	37.69	1.75	0	2710707	125862
200612_A00692_0107_ML205843_CMV60_MAN-20200611_OvationSoloRNA_L000.PE	20004334.0	299.0	11441420.0	57.19	291.83	12023611.0	11898465.0	11768140.0	103731.0	10236.0	141504.0	0.56	0.03	1.93	0.01	1.72	3602681.0	18.01	963197.0	4.81	0.0	17.49	2.49	0	3498907	498129
200612_A00692_0107_ML205843_CMV60_MAN-20200611_OvationSoloRNA_L000.SE	4971566.0	111.0	1853085.0	37.27	110.49	754640.0	738060.0	729410.0	6147.0	481.0	18602.0	0.74	0.06	2.27	0.01	1.78	818835.0	16.47	128252.0	2.58	0.0	42.11	1.56	0	2093826	77568
200612_A00692_0107_ML205844_CMV61_MAN-20200611_OvationSoloRNA_L000.PE	17836256.0	299.0	9429468.0	52.87	291.91	8690824.0	8586415.0	8498990.0	69701.0	7400.0	114733.0	0.55	0.02	1.65	0.01	1.67	3562724.0	19.97	988521.0	5.54	0.0	18.61	3.0	0	3320299	535244
200612_A00692_0107_ML205844_CMV61_MAN-20200611_OvationSoloRNA_L000.SE	4012906.0	107.0	1184042.0	29.51	109.15	459480.0	449792.0	438480.0	3270.0	329.0	17401.0	0.73	0.02	1.72	0.01	1.67	791318.0	19.72	142213.0	3.54	0.0	44.96	2.27	0	1804238	91095
