Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
190717_A00692_0021_TL1906142_CMV10_MAN-20190712_OvationSoloRNA_L000.PE	Unknown Library	2618.0	15081540.0	39527498.0	0.0	2494.0	10300155.0	83333.0	0.682988	5038055.0
190717_A00692_0021_TL1906142_CMV10_MAN-20190712_OvationSoloRNA_L000.SE	Unknown Library	4857104.0	0.0	11549751.0	0.0	3676038.0	0.0	0.0	0.756837	
190717_A00692_0021_TL1906143_CMV11_MAN-20190712_OvationSoloRNA_L000.PE	Unknown Library	1304.0	10848482.0	36439021.0	0.0	1228.0	8779867.0	57460.0	0.809326	2080236.0
190717_A00692_0021_TL1906143_CMV11_MAN-20190712_OvationSoloRNA_L000.SE	Unknown Library	3030877.0	0.0	7645733.0	0.0	2548000.0	0.0	0.0	0.840681	
190717_A00692_0021_TL1906144_CMV18_MAN-20190712_OvationSoloRNA_L000.PE	Unknown Library	3153.0	14313688.0	37761844.0	0.0	2993.0	9694319.0	76900.0	0.677306	4884133.0
190717_A00692_0021_TL1906144_CMV18_MAN-20190712_OvationSoloRNA_L000.SE	Unknown Library	5256608.0	0.0	13108454.0	0.0	3990200.0	0.0	0.0	0.759083	
190717_A00692_0021_TL1906145_CMV19_MAN-20190712_OvationSoloRNA_L000.PE	Unknown Library	3275.0	15900045.0	56580053.0	0.0	3120.0	11684655.0	105782.0	0.734904	4327949.0
190717_A00692_0021_TL1906145_CMV19_MAN-20190712_OvationSoloRNA_L000.SE	Unknown Library	4883471.0	0.0	12930543.0	0.0	3725887.0	0.0	0.0	0.762959	
190717_A00692_0021_TL1906146_CMV35_MAN-20190712_OvationSoloRNA_L000.PE	Unknown Library	5255.0	11223921.0	33247829.0	0.0	5083.0	6612100.0	58298.0	0.589196	5230461.0
190717_A00692_0021_TL1906146_CMV35_MAN-20190712_OvationSoloRNA_L000.SE	Unknown Library	6267005.0	0.0	16084527.0	0.0	4895104.0	0.0	0.0	0.781091	
190717_A00692_0021_TL1906147_Corriel_MAN-20190712_OvationSoloRNA_L000.PE	Unknown Library	2194.0	47966217.0	34417166.0	0.0	2050.0	27332504.0	263561.0	0.569837	23868692.0
190717_A00692_0021_TL1906147_Corriel_MAN-20190712_OvationSoloRNA_L000.SE	Unknown Library	9844961.0	0.0	8464559.0	0.0	5364153.0	0.0	0.0	0.544863	
190717_A00692_0021_TL1906148_NTC-2_MAN-20190712_OvationSoloRNA_L000.PE	Unknown Library	56.0	40510.0	10732.0	0.0	47.0	38368.0	226.0	0.94705	2142.0
190717_A00692_0021_TL1906148_NTC-2_MAN-20190712_OvationSoloRNA_L000.SE	Unknown Library	40451.0	0.0	36118.0	0.0	34100.0	0.0	0.0	0.842995	
200612_A00692_0107_ML205836_CMV51_MAN-20200611_OvationSoloRNA_L000.PE	Unknown Library	756.0	15785327.0	36154631.0	0.0	679.0	10431140.0	104993.0	0.660818	5724011.0
200612_A00692_0107_ML205836_CMV51_MAN-20200611_OvationSoloRNA_L000.SE	Unknown Library	4221301.0	0.0	7353875.0	0.0	3029722.0	0.0	0.0	0.717722	
200612_A00692_0107_ML205837_CMV52_MAN-20200611_OvationSoloRNA_L000.PE	Unknown Library	482.0	13764904.0	33343070.0	0.0	430.0	10217235.0	91595.0	0.74227	3631821.0
200612_A00692_0107_ML205837_CMV52_MAN-20200611_OvationSoloRNA_L000.SE	Unknown Library	2683628.0	0.0	4141025.0	0.0	1843074.0	0.0	0.0	0.686784	
200612_A00692_0107_ML205838_CMV53_MAN-20200611_OvationSoloRNA_L000.PE	Unknown Library	471.0	14397957.0	33405645.0	0.0	426.0	10210005.0	97306.0	0.709132	4350489.0
200612_A00692_0107_ML205838_CMV53_MAN-20200611_OvationSoloRNA_L000.SE	Unknown Library	2050151.0	0.0	3242317.0	0.0	1371255.0	0.0	0.0	0.668856	
200612_A00692_0107_ML205839_CMV54_MAN-20200611_OvationSoloRNA_L000.PE	Unknown Library	540.0	16116677.0	32136263.0	0.0	479.0	12019147.0	105844.0	0.745761	4189214.0
200612_A00692_0107_ML205839_CMV54_MAN-20200611_OvationSoloRNA_L000.SE	Unknown Library	3327872.0	0.0	4879945.0	0.0	2297196.0	0.0	0.0	0.69029	
200612_A00692_0107_ML205840_CMV56_MAN-20200611_OvationSoloRNA_L000.PE	Unknown Library	687.0	17819148.0	34037701.0	0.0	623.0	14208356.0	117762.0	0.797367	3638867.0
200612_A00692_0107_ML205840_CMV56_MAN-20200611_OvationSoloRNA_L000.SE	Unknown Library	4879560.0	0.0	6672090.0	0.0	3673117.0	0.0	0.0	0.752756	
200612_A00692_0107_ML205841_CMV57_MAN-20200611_OvationSoloRNA_L000.PE	Unknown Library	662.0	18176381.0	34885944.0	0.0	600.0	13427014.0	122598.0	0.73871	4868771.0
200612_A00692_0107_ML205841_CMV57_MAN-20200611_OvationSoloRNA_L000.SE	Unknown Library	3286766.0	0.0	4704349.0	0.0	2203178.0	0.0	0.0	0.670318	
200612_A00692_0107_ML205842_CMV58_MAN-20200611_OvationSoloRNA_L000.PE	Unknown Library	530.0	20082904.0	32390589.0	0.0	478.0	15989634.0	134560.0	0.796183	4126068.0
200612_A00692_0107_ML205842_CMV58_MAN-20200611_OvationSoloRNA_L000.SE	Unknown Library	4168766.0	0.0	4846739.0	0.0	2923281.0	0.0	0.0	0.701234	
200612_A00692_0107_ML205843_CMV60_MAN-20200611_OvationSoloRNA_L000.PE	Unknown Library	416.0	15043685.0	30930271.0	0.0	375.0	11796618.0	99298.0	0.784159	3281606.0
200612_A00692_0107_ML205843_CMV60_MAN-20200611_OvationSoloRNA_L000.SE	Unknown Library	2671920.0	0.0	3278010.0	0.0	1850963.0	0.0	0.0	0.692746	
200612_A00692_0107_ML205844_CMV61_MAN-20200611_OvationSoloRNA_L000.PE	Unknown Library	792.0	12991400.0	31737084.0	0.0	729.0	8676048.0	88480.0	0.667838	4591804.0
200612_A00692_0107_ML205844_CMV61_MAN-20200611_OvationSoloRNA_L000.SE	Unknown Library	1975360.0	0.0	3422999.0	0.0	1285992.0	0.0	0.0	0.651017	
