Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
190717_A00692_0021_TL1906140_CMV3_MAN-20190712_OvationSoloRNA_L000.PE	21529954	2743496	0	0	0	0	0	0	0	0	16991907	0	1552332	0	242219	12.742693272823526
190717_A00692_0021_TL1906140_CMV3_MAN-20190712_OvationSoloRNA_L000.SE	13093352	766341	0	0	0	0	0	0	0	0	11877893	0	414303	0	34815	5.852901533541602
190717_A00692_0021_TL1906141_CMV4_MAN-20190712_OvationSoloRNA_L000.PE	22783206	3119694	0	0	0	0	0	0	0	0	17907038	0	1450634	0	305840	13.692954362963667
190717_A00692_0021_TL1906141_CMV4_MAN-20190712_OvationSoloRNA_L000.SE	20039665	1132586	0	0	0	0	0	0	0	0	18445524	0	413602	0	47953	5.651721223882735
190717_A00692_0021_TL1906142_CMV10_MAN-20190712_OvationSoloRNA_L000.PE	24551984	2986759	0	0	0	0	0	0	0	0	19770475	0	1491123	0	303627	12.165041326191805
190717_A00692_0021_TL1906142_CMV10_MAN-20190712_OvationSoloRNA_L000.SE	12730817	857249	0	0	0	0	0	0	0	0	11549751	0	284712	0	39105	6.733652679164267
190717_A00692_0021_TL1906143_CMV11_MAN-20190712_OvationSoloRNA_L000.PE	20291411	833406	0	0	0	0	0	0	0	0	18222720	0	1074472	0	160813	4.107186040438489
190717_A00692_0021_TL1906143_CMV11_MAN-20190712_OvationSoloRNA_L000.SE	8128610	319158	0	0	0	0	0	0	0	0	7645733	0	143593	0	20126	3.926353952274743
190717_A00692_0021_TL1906144_CMV18_MAN-20190712_OvationSoloRNA_L000.PE	23508524	3017208	0	0	0	0	0	0	0	0	18888995	0	1340628	0	261693	12.834527595182072
190717_A00692_0021_TL1906144_CMV18_MAN-20190712_OvationSoloRNA_L000.SE	14374862	976610	0	0	0	0	0	0	0	0	13108454	0	245998	0	43800	6.793873916841775
190717_A00692_0021_TL1906145_CMV19_MAN-20190712_OvationSoloRNA_L000.PE	32514016	2371752	0	0	0	0	0	0	0	0	28298471	0	1669295	0	174498	7.294552601561123
190717_A00692_0021_TL1906145_CMV19_MAN-20190712_OvationSoloRNA_L000.SE	14088127	828235	0	0	0	0	0	0	0	0	12930543	0	290692	0	38657	5.878957507978172
190717_A00692_0021_TL1906146_CMV35_MAN-20190712_OvationSoloRNA_L000.PE	21249283	2899114	0	0	0	0	0	0	0	0	16637290	0	1408423	0	304456	13.643349754436422
190717_A00692_0021_TL1906146_CMV35_MAN-20190712_OvationSoloRNA_L000.SE	17456428	1014857	0	0	0	0	0	0	0	0	16084527	0	312340	0	44704	5.8136578686086295
190717_A00692_0021_TL1906147_Corriel_MAN-20190712_OvationSoloRNA_L000.PE	37847883	9496361	0	0	0	0	0	0	0	0	17214026	0	10725724	0	411772	25.090864395242395
190717_A00692_0021_TL1906147_Corriel_MAN-20190712_OvationSoloRNA_L000.SE	12945367	1690275	0	0	0	0	0	0	0	0	8464559	0	2724144	0	66389	13.056987878366058
190717_A00692_0021_TL1906148_NTC-2_MAN-20190712_OvationSoloRNA_L000.PE	7649	230	0	0	0	0	0	0	0	0	5498	0	1894	0	27	3.0069290103281476
190717_A00692_0021_TL1906148_NTC-2_MAN-20190712_OvationSoloRNA_L000.SE	42469	287	0	0	0	0	0	0	0	0	36118	0	6044	0	20	0.6757870446678754
200612_A00692_0107_ML205836_CMV51_MAN-20200611_OvationSoloRNA_L000.PE	23433413	3683865	0	0	0	0	0	0	0	0	18079149	0	1367984	0	302415	15.720565331221707
200612_A00692_0107_ML205836_CMV51_MAN-20200611_OvationSoloRNA_L000.SE	8545454	843897	0	0	0	0	0	0	0	0	7353875	0	308949	0	38733	9.875391055876024
200612_A00692_0107_ML205837_CMV52_MAN-20200611_OvationSoloRNA_L000.PE	20220471	2221797	0	0	0	0	0	0	0	0	16672750	0	1127531	0	198393	10.987859778340475
200612_A00692_0107_ML205837_CMV52_MAN-20200611_OvationSoloRNA_L000.SE	4981579	559097	0	0	0	0	0	0	0	0	4141025	0	255447	0	26010	11.223288840747081
200612_A00692_0107_ML205838_CMV53_MAN-20200611_OvationSoloRNA_L000.PE	20892028	2747514	0	0	0	0	0	0	0	0	16704031	0	1168179	0	272304	13.151016263236867
200612_A00692_0107_ML205838_CMV53_MAN-20200611_OvationSoloRNA_L000.SE	3921213	492326	0	0	0	0	0	0	0	0	3242317	0	160450	0	26120	12.555451591127543
200612_A00692_0107_ML205839_CMV54_MAN-20200611_OvationSoloRNA_L000.PE	20167061	2699081	0	0	0	0	0	0	0	0	16069470	0	1123682	0	274828	13.383611027903372
200612_A00692_0107_ML205839_CMV54_MAN-20200611_OvationSoloRNA_L000.SE	5910621	738038	0	0	0	0	0	0	0	0	4879945	0	258933	0	33705	12.486640574653661
200612_A00692_0107_ML205840_CMV56_MAN-20200611_OvationSoloRNA_L000.PE	20631456	2272006	0	0	0	0	0	0	0	0	17020600	0	1070548	0	268302	11.012339604146213
200612_A00692_0107_ML205840_CMV56_MAN-20200611_OvationSoloRNA_L000.SE	7878533	903238	0	0	0	0	0	0	0	0	6672090	0	263091	0	40114	11.464545493431327
200612_A00692_0107_ML205841_CMV57_MAN-20200611_OvationSoloRNA_L000.PE	22194083	3266321	0	0	0	0	0	0	0	0	17444654	0	1206657	0	276451	14.717080223589324
200612_A00692_0107_ML205841_CMV57_MAN-20200611_OvationSoloRNA_L000.SE	5787937	778196	0	0	0	0	0	0	0	0	4704349	0	270213	0	35179	13.445135978501494
200612_A00692_0107_ML205842_CMV58_MAN-20200611_OvationSoloRNA_L000.PE	20289934	2755280	0	0	0	0	0	0	0	0	16196612	0	1109136	0	228906	13.579541461298
200612_A00692_0107_ML205842_CMV58_MAN-20200611_OvationSoloRNA_L000.SE	6092224	967503	0	0	0	0	0	0	0	0	4846739	0	238568	0	39414	15.880949223140844
200612_A00692_0107_ML205843_CMV60_MAN-20200611_OvationSoloRNA_L000.PE	18713356	2081476	0	0	0	0	0	0	0	0	15466248	0	952581	0	213051	11.122943420731161
200612_A00692_0107_ML205843_CMV60_MAN-20200611_OvationSoloRNA_L000.SE	4098967	566167	0	0	0	0	0	0	0	0	3278010	0	228882	0	25908	13.81243127841722
200612_A00692_0107_ML205844_CMV61_MAN-20200611_OvationSoloRNA_L000.PE	20185988	2490300	0	0	0	0	0	0	0	0	15870573	0	1601552	0	223563	12.33677539092959
200612_A00692_0107_ML205844_CMV61_MAN-20200611_OvationSoloRNA_L000.SE	4112367	409199	0	0	0	0	0	0	0	0	3422999	0	259448	0	20721	9.950449461344283
