Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
190717_A00692_0021_TL1906133_CMV27_MAN-20190712_OvationSoloRNA_L000_R1	190717_A00692_0021_TL1906133_CMV27_MAN-20190712_OvationSoloRNA_L000_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32161190.0	0.0	35-151	56.0	29.149751409616854	135.60910482479036	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
190717_A00692_0021_TL1906133_CMV27_MAN-20190712_OvationSoloRNA_L000_R2	190717_A00692_0021_TL1906133_CMV27_MAN-20190712_OvationSoloRNA_L000_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32161190.0	0.0	130-151	56.0	23.951551761793386	150.22404432174307	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	fail
190717_A00692_0021_TL1906134_CMV14_MAN-20190712_OvationSoloRNA_L000_R1	190717_A00692_0021_TL1906134_CMV14_MAN-20190712_OvationSoloRNA_L000_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35409225.0	0.0	35-151	55.0	24.198703577258858	144.87539320614897	pass	pass		pass	fail	fail	pass	warn	fail	fail	warn
190717_A00692_0021_TL1906134_CMV14_MAN-20190712_OvationSoloRNA_L000_R2	190717_A00692_0021_TL1906134_CMV14_MAN-20190712_OvationSoloRNA_L000_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35409225.0	0.0	131-151	55.0	21.375444030842033	150.55766097676525	pass	pass		pass	fail	fail	pass	warn	fail	warn	fail
190717_A00692_0021_TL1906135_CMV15_MAN-20190712_OvationSoloRNA_L000_R1	190717_A00692_0021_TL1906135_CMV15_MAN-20190712_OvationSoloRNA_L000_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35482879.0	0.0	35-151	53.0	28.598659060834088	134.23067231945862	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
190717_A00692_0021_TL1906135_CMV15_MAN-20190712_OvationSoloRNA_L000_R2	190717_A00692_0021_TL1906135_CMV15_MAN-20190712_OvationSoloRNA_L000_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35482879.0	0.0	130-151	54.0	23.890479241031066	150.19198501339196	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	fail
190717_A00692_0021_TL1906136_CMV20_MAN-20190712_OvationSoloRNA_L000_R1	190717_A00692_0021_TL1906136_CMV20_MAN-20190712_OvationSoloRNA_L000_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34403628.0	0.0	35-151	52.0	29.573589113289806	134.29518314173146	pass	pass		pass	fail	fail	pass	warn	fail	fail	fail
190717_A00692_0021_TL1906136_CMV20_MAN-20190712_OvationSoloRNA_L000_R2	190717_A00692_0021_TL1906136_CMV20_MAN-20190712_OvationSoloRNA_L000_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34403628.0	0.0	130-151	54.0	24.524803846545627	150.6605786750165	pass	pass		pass	fail	fail	pass	warn	fail	fail	fail
190717_A00692_0021_TL1906137_CMV21_MAN-20190712_OvationSoloRNA_L000_R1	190717_A00692_0021_TL1906137_CMV21_MAN-20190712_OvationSoloRNA_L000_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35008180.0	0.0	35-151	51.0	28.629596818071267	138.61767446922406	pass	pass		pass	fail	fail	pass	warn	fail	fail	fail
190717_A00692_0021_TL1906137_CMV21_MAN-20190712_OvationSoloRNA_L000_R2	190717_A00692_0021_TL1906137_CMV21_MAN-20190712_OvationSoloRNA_L000_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35008180.0	0.0	132-151	54.0	24.991582047810628	150.70694069214682	pass	pass		pass	fail	fail	pass	warn	fail	fail	fail
190717_A00692_0021_TL1906138_CMV1_MAN-20190712_OvationSoloRNA_L000_R1	190717_A00692_0021_TL1906138_CMV1_MAN-20190712_OvationSoloRNA_L000_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32590232.0	0.0	35-151	55.0	30.714800466830017	130.10889643252617	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
190717_A00692_0021_TL1906138_CMV1_MAN-20190712_OvationSoloRNA_L000_R2	190717_A00692_0021_TL1906138_CMV1_MAN-20190712_OvationSoloRNA_L000_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32590232.0	0.0	130-151	57.0	24.101095691696905	150.35513662498627	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	fail
190717_A00692_0021_TL1906139_CMV2_MAN-20190712_OvationSoloRNA_L000_R1	190717_A00692_0021_TL1906139_CMV2_MAN-20190712_OvationSoloRNA_L000_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30879863.0	0.0	35-151	55.0	31.82244679536318	129.86948319686522	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
190717_A00692_0021_TL1906139_CMV2_MAN-20190712_OvationSoloRNA_L000_R2	190717_A00692_0021_TL1906139_CMV2_MAN-20190712_OvationSoloRNA_L000_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30879863.0	0.0	131-151	57.0	25.556824294265475	150.29964433456198	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	fail
190717_A00692_0021_TL1906140_CMV3_MAN-20190712_OvationSoloRNA_L000_R1	190717_A00692_0021_TL1906140_CMV3_MAN-20190712_OvationSoloRNA_L000_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31637294.0	0.0	35-151	53.0	28.596292143936846	133.34786846814396	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
190717_A00692_0021_TL1906140_CMV3_MAN-20190712_OvationSoloRNA_L000_R2	190717_A00692_0021_TL1906140_CMV3_MAN-20190712_OvationSoloRNA_L000_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31637294.0	0.0	130-151	54.0	22.80240221143892	150.34676704651162	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	fail
190717_A00692_0021_TL1906141_CMV4_MAN-20190712_OvationSoloRNA_L000_R1	190717_A00692_0021_TL1906141_CMV4_MAN-20190712_OvationSoloRNA_L000_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33736239.0	0.0	35-151	56.0	29.04484808021857	127.2973222355936	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
190717_A00692_0021_TL1906141_CMV4_MAN-20190712_OvationSoloRNA_L000_R2	190717_A00692_0021_TL1906141_CMV4_MAN-20190712_OvationSoloRNA_L000_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33736239.0	0.0	130-151	57.0	23.138832782100074	150.34306402678735	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	fail
190717_A00692_0021_TL1906142_CMV10_MAN-20190712_OvationSoloRNA_L000_R1	190717_A00692_0021_TL1906142_CMV10_MAN-20190712_OvationSoloRNA_L000_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32749293.0	0.0	35-151	56.0	29.27606076177136	136.7607988667114	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
190717_A00692_0021_TL1906142_CMV10_MAN-20190712_OvationSoloRNA_L000_R2	190717_A00692_0021_TL1906142_CMV10_MAN-20190712_OvationSoloRNA_L000_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32749293.0	0.0	130-151	56.0	23.71386617739978	150.2923307382544	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
190717_A00692_0021_TL1906143_CMV11_MAN-20190712_OvationSoloRNA_L000_R1	190717_A00692_0021_TL1906143_CMV11_MAN-20190712_OvationSoloRNA_L000_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26246344.0	0.0	35-151	56.0	22.06260824447305	141.81571200926118	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
190717_A00692_0021_TL1906143_CMV11_MAN-20190712_OvationSoloRNA_L000_R2	190717_A00692_0021_TL1906143_CMV11_MAN-20190712_OvationSoloRNA_L000_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26246344.0	0.0	130-151	56.0	18.189385374441684	150.30698858477203	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
190717_A00692_0021_TL1906144_CMV18_MAN-20190712_OvationSoloRNA_L000_R1	190717_A00692_0021_TL1906144_CMV18_MAN-20190712_OvationSoloRNA_L000_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31653010.0	0.0	35-151	55.0	29.55743642465343	135.01028989028217	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
190717_A00692_0021_TL1906144_CMV18_MAN-20190712_OvationSoloRNA_L000_R2	190717_A00692_0021_TL1906144_CMV18_MAN-20190712_OvationSoloRNA_L000_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31653010.0	0.0	130-151	56.0	23.637757108777173	150.3556732519277	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
190717_A00692_0021_TL1906145_CMV19_MAN-20190712_OvationSoloRNA_L000_R1	190717_A00692_0021_TL1906145_CMV19_MAN-20190712_OvationSoloRNA_L000_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34813953.0	0.0	35-151	56.0	25.96166193443617	141.8479999671396	pass	pass		pass	fail	fail	pass	warn	fail	warn	fail
190717_A00692_0021_TL1906145_CMV19_MAN-20190712_OvationSoloRNA_L000_R2	190717_A00692_0021_TL1906145_CMV19_MAN-20190712_OvationSoloRNA_L000_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34813953.0	0.0	130-151	56.0	21.529551002416337	150.5924515954853	pass	pass		pass	fail	fail	pass	warn	fail	warn	fail
190717_A00692_0021_TL1906146_CMV35_MAN-20190712_OvationSoloRNA_L000_R1	190717_A00692_0021_TL1906146_CMV35_MAN-20190712_OvationSoloRNA_L000_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30154988.0	0.0	35-151	55.0	30.80558113672374	127.58723104117965	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
190717_A00692_0021_TL1906146_CMV35_MAN-20190712_OvationSoloRNA_L000_R2	190717_A00692_0021_TL1906146_CMV35_MAN-20190712_OvationSoloRNA_L000_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30154988.0	0.0	129-151	57.0	24.63637535154485	150.38366160185507	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	fail
190717_A00692_0021_TL1906147_Corriel_MAN-20190712_OvationSoloRNA_L000_R1	190717_A00692_0021_TL1906147_Corriel_MAN-20190712_OvationSoloRNA_L000_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	68393969.0	0.0	35-151	48.0	41.14181377941155	142.8342173123481	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
190717_A00692_0021_TL1906147_Corriel_MAN-20190712_OvationSoloRNA_L000_R2	190717_A00692_0021_TL1906147_Corriel_MAN-20190712_OvationSoloRNA_L000_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	68393969.0	0.0	130-151	48.0	38.17468745129454	150.25405962329808	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	fail
190717_A00692_0021_TL1906148_NTC-2_MAN-20190712_OvationSoloRNA_L000_R1	190717_A00692_0021_TL1906148_NTC-2_MAN-20190712_OvationSoloRNA_L000_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	646688.0	0.0	35-151	45.0	17.662453716701236	126.71559391855114	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
190717_A00692_0021_TL1906148_NTC-2_MAN-20190712_OvationSoloRNA_L000_R2	190717_A00692_0021_TL1906148_NTC-2_MAN-20190712_OvationSoloRNA_L000_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	646688.0	0.0	82-151	48.0	19.083716089091958	149.2280419615023	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
200612_A00692_0107_ML205836_CMV51_MAN-20200611_OvationSoloRNA_L000_R1	200612_A00692_0107_ML205836_CMV51_MAN-20200611_OvationSoloRNA_L000_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29473875.0	0.0	35-151	53.0	27.98019371799507	139.4228607877315	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
200612_A00692_0107_ML205836_CMV51_MAN-20200611_OvationSoloRNA_L000_R2	200612_A00692_0107_ML205836_CMV51_MAN-20200611_OvationSoloRNA_L000_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29473875.0	0.0	130-151	53.0	27.99991796160526	150.01808062224598	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	fail
200612_A00692_0107_ML205837_CMV52_MAN-20200611_OvationSoloRNA_L000_R1	200612_A00692_0107_ML205837_CMV52_MAN-20200611_OvationSoloRNA_L000_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24471472.0	0.0	35-151	53.0	25.06117034620729	141.9392861205897	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
200612_A00692_0107_ML205837_CMV52_MAN-20200611_OvationSoloRNA_L000_R2	200612_A00692_0107_ML205837_CMV52_MAN-20200611_OvationSoloRNA_L000_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24471472.0	0.0	131-151	52.0	25.626016585156147	150.06951138860794	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	fail
200612_A00692_0107_ML205838_CMV53_MAN-20200611_OvationSoloRNA_L000_R1	200612_A00692_0107_ML205838_CMV53_MAN-20200611_OvationSoloRNA_L000_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22839275.0	0.0	35-151	53.0	26.433578179295907	143.64248050780947	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
200612_A00692_0107_ML205838_CMV53_MAN-20200611_OvationSoloRNA_L000_R2	200612_A00692_0107_ML205838_CMV53_MAN-20200611_OvationSoloRNA_L000_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22839275.0	0.0	130-151	53.0	26.796065199468593	150.16362599075495	pass	pass	pass	pass	warn	fail	pass	warn	fail	warn	fail
200612_A00692_0107_ML205839_CMV54_MAN-20200611_OvationSoloRNA_L000_R1	200612_A00692_0107_ML205839_CMV54_MAN-20200611_OvationSoloRNA_L000_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27950437.0	0.0	35-151	52.0	25.353213923451346	141.59770668344112	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
200612_A00692_0107_ML205839_CMV54_MAN-20200611_OvationSoloRNA_L000_R2	200612_A00692_0107_ML205839_CMV54_MAN-20200611_OvationSoloRNA_L000_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27950437.0	0.0	130-151	52.0	26.046975609500294	150.0754194290415	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	fail
200612_A00692_0107_ML205840_CMV56_MAN-20200611_OvationSoloRNA_L000_R1	200612_A00692_0107_ML205840_CMV56_MAN-20200611_OvationSoloRNA_L000_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33113951.0	0.0	35-151	52.0	22.661325661693677	139.35571258168497	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
200612_A00692_0107_ML205840_CMV56_MAN-20200611_OvationSoloRNA_L000_R2	200612_A00692_0107_ML205840_CMV56_MAN-20200611_OvationSoloRNA_L000_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33113951.0	0.0	130-151	52.0	23.614111114023046	150.01965289493845	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	fail
200612_A00692_0107_ML205841_CMV57_MAN-20200611_OvationSoloRNA_L000_R1	200612_A00692_0107_ML205841_CMV57_MAN-20200611_OvationSoloRNA_L000_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30300669.0	0.0	35-151	51.0	26.266639556672942	141.7760200608112	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
200612_A00692_0107_ML205841_CMV57_MAN-20200611_OvationSoloRNA_L000_R2	200612_A00692_0107_ML205841_CMV57_MAN-20200611_OvationSoloRNA_L000_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30300669.0	0.0	130-151	51.0	26.35464449742303	150.14476505452734	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	fail
200612_A00692_0107_ML205842_CMV58_MAN-20200611_OvationSoloRNA_L000_R1	200612_A00692_0107_ML205842_CMV58_MAN-20200611_OvationSoloRNA_L000_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32669347.0	0.0	35-151	51.0	23.773029698697535	141.42423024249612	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
200612_A00692_0107_ML205842_CMV58_MAN-20200611_OvationSoloRNA_L000_R2	200612_A00692_0107_ML205842_CMV58_MAN-20200611_OvationSoloRNA_L000_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32669347.0	0.0	130-151	51.0	24.35354297665921	150.09932729907334	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	fail
200612_A00692_0107_ML205843_CMV60_MAN-20200611_OvationSoloRNA_L000_R1	200612_A00692_0107_ML205843_CMV60_MAN-20200611_OvationSoloRNA_L000_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24979805.0	0.0	35-151	52.0	23.950998994599498	142.42999322853	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
200612_A00692_0107_ML205843_CMV60_MAN-20200611_OvationSoloRNA_L000_R2	200612_A00692_0107_ML205843_CMV60_MAN-20200611_OvationSoloRNA_L000_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24979805.0	0.0	129-151	52.0	24.546487989637082	150.08763703319542	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	fail
200612_A00692_0107_ML205844_CMV61_MAN-20200611_OvationSoloRNA_L000_R1	200612_A00692_0107_ML205844_CMV61_MAN-20200611_OvationSoloRNA_L000_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21869757.0	0.0	35-151	52.0	29.35821968009391	142.37512721334764	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
200612_A00692_0107_ML205844_CMV61_MAN-20200611_OvationSoloRNA_L000_R2	200612_A00692_0107_ML205844_CMV61_MAN-20200611_OvationSoloRNA_L000_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21869757.0	0.0	131-151	52.0	29.86032048044206	150.17574987230083	pass	pass	pass	pass	warn	warn	pass	warn	fail	warn	fail
