Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
190717_A00692_0021_TL1906133_CMV27_MAN-20190712_OvationSoloRNA_L000.PE	12.371996136781178	3169588	0.657569	46.51	9833919.0					
190717_A00692_0021_TL1906133_CMV27_MAN-20190712_OvationSoloRNA_L000.SE	7.378416407871832	1003861	0.749272	25.45	2788988.0					
190717_A00692_0021_TL1906133_CMV27_MAN-20190712_OvationSoloRNA_L000_R1						70.85024859038315	56.0	135.60910482479036	27.27272727272727	32161190.0
190717_A00692_0021_TL1906133_CMV27_MAN-20190712_OvationSoloRNA_L000_R2						76.04844823820662	56.0	150.22404432174307	27.27272727272727	32161190.0
190717_A00692_0021_TL1906134_CMV14_MAN-20190712_OvationSoloRNA_L000.PE	11.929893973795206	3506747	0.731171	54.35	14604518.0					
190717_A00692_0021_TL1906134_CMV14_MAN-20190712_OvationSoloRNA_L000.SE	9.474017989716655	965059	0.723906	32.02	2716378.0					
190717_A00692_0021_TL1906134_CMV14_MAN-20190712_OvationSoloRNA_L000_R1						75.80129642274115	55.0	144.87539320614897	40.0	35409225.0
190717_A00692_0021_TL1906134_CMV14_MAN-20190712_OvationSoloRNA_L000_R2						78.62455596915797	55.0	150.55766097676525	40.0	35409225.0
190717_A00692_0021_TL1906135_CMV15_MAN-20190712_OvationSoloRNA_L000.PE	11.559822175754345	2513795	0.71685	47.98	10614586.0					
190717_A00692_0021_TL1906135_CMV15_MAN-20190712_OvationSoloRNA_L000.SE	7.840235068584479	1311919	0.734231	27.99	3721789.0					
190717_A00692_0021_TL1906135_CMV15_MAN-20190712_OvationSoloRNA_L000_R1						71.40134093916592	53.0	134.23067231945862	27.27272727272727	35482879.0
190717_A00692_0021_TL1906135_CMV15_MAN-20190712_OvationSoloRNA_L000_R2						76.10952075896893	54.0	150.19198501339196	36.36363636363637	35482879.0
190717_A00692_0021_TL1906136_CMV20_MAN-20190712_OvationSoloRNA_L000.PE	16.785959529478088	3272942	0.642732	48.98	10045729.0					
190717_A00692_0021_TL1906136_CMV20_MAN-20190712_OvationSoloRNA_L000.SE	7.082076052130898	1271475	0.752919	24.53	3360939.0					
190717_A00692_0021_TL1906136_CMV20_MAN-20190712_OvationSoloRNA_L000_R1						70.42641088671019	52.0	134.29518314173146	50.0	34403628.0
190717_A00692_0021_TL1906136_CMV20_MAN-20190712_OvationSoloRNA_L000_R2						75.47519615345438	54.0	150.6605786750165	50.0	34403628.0
190717_A00692_0021_TL1906137_CMV21_MAN-20190712_OvationSoloRNA_L000.PE	19.730555741606004	3308155	0.62786	47.6	10100687.0					
190717_A00692_0021_TL1906137_CMV21_MAN-20190712_OvationSoloRNA_L000.SE	7.416387971141726	1264891	0.754623	26.16	3555066.0					
190717_A00692_0021_TL1906137_CMV21_MAN-20190712_OvationSoloRNA_L000_R1						71.37040318192874	51.0	138.61767446922406	50.0	35008180.0
190717_A00692_0021_TL1906137_CMV21_MAN-20190712_OvationSoloRNA_L000_R2						75.00841795218938	54.0	150.70694069214682	50.0	35008180.0
190717_A00692_0021_TL1906138_CMV1_MAN-20190712_OvationSoloRNA_L000.PE	14.27539976446095	3307586	0.59942	45.89	8894669.0					
190717_A00692_0021_TL1906138_CMV1_MAN-20190712_OvationSoloRNA_L000.SE	6.094269206843995	1017416	0.772657	24.23	3170064.0					
190717_A00692_0021_TL1906138_CMV1_MAN-20190712_OvationSoloRNA_L000_R1						69.28519953316999	55.0	130.10889643252617	27.27272727272727	32590232.0
190717_A00692_0021_TL1906138_CMV1_MAN-20190712_OvationSoloRNA_L000_R2						75.89890430830309	57.0	150.35513662498627	36.36363636363637	32590232.0
190717_A00692_0021_TL1906139_CMV2_MAN-20190712_OvationSoloRNA_L000.PE	16.842802563394603	3416690	0.589166	49.66	9055773.0					
190717_A00692_0021_TL1906139_CMV2_MAN-20190712_OvationSoloRNA_L000.SE	7.196398089720477	1122730	0.755242	26.31	3293162.0					
190717_A00692_0021_TL1906139_CMV2_MAN-20190712_OvationSoloRNA_L000_R1						68.17755320463682	55.0	129.86948319686522	27.27272727272727	30879863.0
190717_A00692_0021_TL1906139_CMV2_MAN-20190712_OvationSoloRNA_L000_R2						74.44317570573452	57.0	150.29964433456198	27.27272727272727	30879863.0
190717_A00692_0021_TL1906140_CMV3_MAN-20190712_OvationSoloRNA_L000.PE	12.742693272823526	2743496	0.660146	46.92	9490095.0					
190717_A00692_0021_TL1906140_CMV3_MAN-20190712_OvationSoloRNA_L000.SE	5.852901533541602	766341	0.792529	28.07	3171410.0					
190717_A00692_0021_TL1906140_CMV3_MAN-20190712_OvationSoloRNA_L000_R1						71.40370785606315	53.0	133.34786846814396	36.36363636363637	31637294.0
190717_A00692_0021_TL1906140_CMV3_MAN-20190712_OvationSoloRNA_L000_R2						77.19759778856108	54.0	150.34676704651162	36.36363636363637	31637294.0
190717_A00692_0021_TL1906141_CMV4_MAN-20190712_OvationSoloRNA_L000.PE	13.692954362963667	3119694	0.604092	45.04	8343517.0					
190717_A00692_0021_TL1906141_CMV4_MAN-20190712_OvationSoloRNA_L000.SE	5.651721223882735	1132586	0.784585	22.65	3409510.0					
190717_A00692_0021_TL1906141_CMV4_MAN-20190712_OvationSoloRNA_L000_R1						70.95515191978143	56.0	127.2973222355936	27.27272727272727	33736239.0
190717_A00692_0021_TL1906141_CMV4_MAN-20190712_OvationSoloRNA_L000_R2						76.86116721789992	57.0	150.34306402678735	36.36363636363637	33736239.0
190717_A00692_0021_TL1906142_CMV10_MAN-20190712_OvationSoloRNA_L000.PE	12.165041326191805	2986759	0.682988	45.69	10322332.0					
190717_A00692_0021_TL1906142_CMV10_MAN-20190712_OvationSoloRNA_L000.SE	6.733652679164267	857249	0.756837	23.46	2364924.0					
190717_A00692_0021_TL1906142_CMV10_MAN-20190712_OvationSoloRNA_L000_R1						70.72393923822864	56.0	136.7607988667114	27.27272727272727	32749293.0
190717_A00692_0021_TL1906142_CMV10_MAN-20190712_OvationSoloRNA_L000_R2						76.28613382260022	56.0	150.2923307382544	45.45454545454545	32749293.0
190717_A00692_0021_TL1906143_CMV11_MAN-20190712_OvationSoloRNA_L000.PE	4.107186040438489	833406	0.809326	33.79	6622662.0					
190717_A00692_0021_TL1906143_CMV11_MAN-20190712_OvationSoloRNA_L000.SE	3.926353952274743	319158	0.840681	20.23	1336218.0					
190717_A00692_0021_TL1906143_CMV11_MAN-20190712_OvationSoloRNA_L000_R1						77.93739175552695	56.0	141.81571200926118	36.36363636363637	26246344.0
190717_A00692_0021_TL1906143_CMV11_MAN-20190712_OvationSoloRNA_L000_R2						81.81061462555832	56.0	150.30698858477203	45.45454545454545	26246344.0
190717_A00692_0021_TL1906144_CMV18_MAN-20190712_OvationSoloRNA_L000.PE	12.834527595182072	3017208	0.677306	47.28	10058119.0					
190717_A00692_0021_TL1906144_CMV18_MAN-20190712_OvationSoloRNA_L000.SE	6.793873916841775	976610	0.759083	24.48	2518062.0					
190717_A00692_0021_TL1906144_CMV18_MAN-20190712_OvationSoloRNA_L000_R1						70.44256357534657	55.0	135.01028989028217	36.36363636363637	31653010.0
190717_A00692_0021_TL1906144_CMV18_MAN-20190712_OvationSoloRNA_L000_R2						76.36224289122282	56.0	150.3556732519277	45.45454545454545	31653010.0
190717_A00692_0021_TL1906145_CMV19_MAN-20190712_OvationSoloRNA_L000.PE	7.294552601561123	2371752	0.734904	41.57	10130185.0					
190717_A00692_0021_TL1906145_CMV19_MAN-20190712_OvationSoloRNA_L000.SE	5.878957507978172	828235	0.762959	21.61	2237559.0					
190717_A00692_0021_TL1906145_CMV19_MAN-20190712_OvationSoloRNA_L000_R1						74.03833806556383	56.0	141.8479999671396	40.0	34813953.0
190717_A00692_0021_TL1906145_CMV19_MAN-20190712_OvationSoloRNA_L000_R2						78.47044899758366	56.0	150.5924515954853	40.0	34813953.0
190717_A00692_0021_TL1906146_CMV35_MAN-20190712_OvationSoloRNA_L000.PE	13.643349754436422	2899114	0.589196	43.76	7457315.0					
190717_A00692_0021_TL1906146_CMV35_MAN-20190712_OvationSoloRNA_L000.SE	5.8136578686086295	1014857	0.781091	21.89	2840585.0					
190717_A00692_0021_TL1906146_CMV35_MAN-20190712_OvationSoloRNA_L000_R1						69.19441886327625	55.0	127.58723104117965	27.27272727272727	30154988.0
190717_A00692_0021_TL1906146_CMV35_MAN-20190712_OvationSoloRNA_L000_R2						75.36362464845516	57.0	150.38366160185507	36.36363636363637	30154988.0
190717_A00692_0021_TL1906147_Corriel_MAN-20190712_OvationSoloRNA_L000.PE	25.090864395242395	9496361	0.569837	78.36	43308346.0					
190717_A00692_0021_TL1906147_Corriel_MAN-20190712_OvationSoloRNA_L000.SE	13.056987878366058	1690275	0.544863	59.83	7810247.0					
190717_A00692_0021_TL1906147_Corriel_MAN-20190712_OvationSoloRNA_L000_R1						58.85818622058845	48.0	142.8342173123481	18.181818181818183	68393969.0
190717_A00692_0021_TL1906147_Corriel_MAN-20190712_OvationSoloRNA_L000_R2						61.82531254870546	48.0	150.25405962329808	18.181818181818183	68393969.0
190717_A00692_0021_TL1906148_NTC-2_MAN-20190712_OvationSoloRNA_L000.PE	3.0069290103281476	230	0.94705	10.65	38663.0					
190717_A00692_0021_TL1906148_NTC-2_MAN-20190712_OvationSoloRNA_L000.SE	0.6757870446678754	287	0.842995	11.77	30658.0					
190717_A00692_0021_TL1906148_NTC-2_MAN-20190712_OvationSoloRNA_L000_R1						82.33754628329876	45.0	126.71559391855114	36.36363636363637	646688.0
190717_A00692_0021_TL1906148_NTC-2_MAN-20190712_OvationSoloRNA_L000_R2						80.91628391090805	48.0	149.2280419615023	45.45454545454545	646688.0
1pass				54.66	357055761.0					
200612_A00692_0107_ML205836_CMV51_MAN-20200611_OvationSoloRNA_L000.PE	15.720565331221707	3683865	0.660818	53.94	11638652.0					
200612_A00692_0107_ML205836_CMV51_MAN-20200611_OvationSoloRNA_L000.SE	9.875391055876024	843897	0.717722	31.92	2515349.0					
200612_A00692_0107_ML205836_CMV51_MAN-20200611_OvationSoloRNA_L000_R1						72.01980628200494	53.0	139.4228607877315	18.181818181818183	29473875.0
200612_A00692_0107_ML205836_CMV51_MAN-20200611_OvationSoloRNA_L000_R2						72.00008203839474	53.0	150.01808062224598	36.36363636363637	29473875.0
200612_A00692_0107_ML205837_CMV52_MAN-20200611_OvationSoloRNA_L000.PE	10.987859778340475	2221797	0.74227	52.14	10037743.0					
200612_A00692_0107_ML205837_CMV52_MAN-20200611_OvationSoloRNA_L000.SE	11.223288840747081	559097	0.686784	32.66	1701479.0					
200612_A00692_0107_ML205837_CMV52_MAN-20200611_OvationSoloRNA_L000_R1						74.93882965379271	53.0	141.9392861205897	18.181818181818183	24471472.0
200612_A00692_0107_ML205837_CMV52_MAN-20200611_OvationSoloRNA_L000_R2						74.37398341484385	52.0	150.06951138860794	18.181818181818183	24471472.0
200612_A00692_0107_ML205838_CMV53_MAN-20200611_OvationSoloRNA_L000.PE	13.151016263236867	2747514	0.709132	55.48	10542750.0					
200612_A00692_0107_ML205838_CMV53_MAN-20200611_OvationSoloRNA_L000.SE	12.555451591127543	492326	0.668856	33.26	1274049.0					
200612_A00692_0107_ML205838_CMV53_MAN-20200611_OvationSoloRNA_L000_R1						73.5664218207041	53.0	143.64248050780947	27.27272727272727	22839275.0
200612_A00692_0107_ML205838_CMV53_MAN-20200611_OvationSoloRNA_L000_R2						73.20393480053141	53.0	150.16362599075495	27.27272727272727	22839275.0
200612_A00692_0107_ML205839_CMV54_MAN-20200611_OvationSoloRNA_L000.PE	13.383611027903372	2699081	0.745761	56.08	12201246.0					
200612_A00692_0107_ML205839_CMV54_MAN-20200611_OvationSoloRNA_L000.SE	12.486640574653661	738038	0.69029	34.49	2133537.0					
200612_A00692_0107_ML205839_CMV54_MAN-20200611_OvationSoloRNA_L000_R1						74.64678607654865	52.0	141.59770668344112	18.181818181818183	27950437.0
200612_A00692_0107_ML205839_CMV54_MAN-20200611_OvationSoloRNA_L000_R2						73.9530243904997	52.0	150.0754194290415	36.36363636363637	27950437.0
200612_A00692_0107_ML205840_CMV56_MAN-20200611_OvationSoloRNA_L000.PE	11.012339604146213	2272006	0.797367	56.19	13553700.0					
200612_A00692_0107_ML205840_CMV56_MAN-20200611_OvationSoloRNA_L000.SE	11.464545493431327	903238	0.752756	35.51	3189906.0					
200612_A00692_0107_ML205840_CMV56_MAN-20200611_OvationSoloRNA_L000_R1						77.33867433830632	52.0	139.35571258168497	18.181818181818183	33113951.0
200612_A00692_0107_ML205840_CMV56_MAN-20200611_OvationSoloRNA_L000_R2						76.38588888597695	52.0	150.01965289493845	27.27272727272727	33113951.0
200612_A00692_0107_ML205841_CMV57_MAN-20200611_OvationSoloRNA_L000.PE	14.717080223589324	3266321	0.73871	58.8	14130454.0					
200612_A00692_0107_ML205841_CMV57_MAN-20200611_OvationSoloRNA_L000.SE	13.445135978501494	778196	0.670318	34.39	2152129.0					
200612_A00692_0107_ML205841_CMV57_MAN-20200611_OvationSoloRNA_L000_R1						73.73336044332706	51.0	141.7760200608112	18.181818181818183	30300669.0
200612_A00692_0107_ML205841_CMV57_MAN-20200611_OvationSoloRNA_L000_R2						73.64535550257696	51.0	150.14476505452734	18.181818181818183	30300669.0
200612_A00692_0107_ML205842_CMV58_MAN-20200611_OvationSoloRNA_L000.PE	13.579541461298	2755280	0.796183	63.2	16096862.0					
200612_A00692_0107_ML205842_CMV58_MAN-20200611_OvationSoloRNA_L000.SE	15.880949223140844	967503	0.701234	41.2	2963137.0					
200612_A00692_0107_ML205842_CMV58_MAN-20200611_OvationSoloRNA_L000_R1						76.22697030130246	51.0	141.42423024249612	18.181818181818183	32669347.0
200612_A00692_0107_ML205842_CMV58_MAN-20200611_OvationSoloRNA_L000_R2						75.64645702334079	51.0	150.09932729907334	18.181818181818183	32669347.0
200612_A00692_0107_ML205843_CMV60_MAN-20200611_OvationSoloRNA_L000.PE	11.122943420731161	2081476	0.784159	57.19	11441420.0					
200612_A00692_0107_ML205843_CMV60_MAN-20200611_OvationSoloRNA_L000.SE	13.81243127841722	566167	0.692746	37.27	1853085.0					
200612_A00692_0107_ML205843_CMV60_MAN-20200611_OvationSoloRNA_L000_R1						76.0490010054005	52.0	142.42999322853	18.181818181818183	24979805.0
200612_A00692_0107_ML205843_CMV60_MAN-20200611_OvationSoloRNA_L000_R2						75.45351201036291	52.0	150.08763703319542	18.181818181818183	24979805.0
200612_A00692_0107_ML205844_CMV61_MAN-20200611_OvationSoloRNA_L000.PE	12.33677539092959	2490300	0.667838	52.87	9429468.0					
200612_A00692_0107_ML205844_CMV61_MAN-20200611_OvationSoloRNA_L000.SE	9.950449461344283	409199	0.651017	29.51	1184042.0					
200612_A00692_0107_ML205844_CMV61_MAN-20200611_OvationSoloRNA_L000_R1						70.64178031990609	52.0	142.37512721334764	18.181818181818183	21869757.0
200612_A00692_0107_ML205844_CMV61_MAN-20200611_OvationSoloRNA_L000_R2						70.13967951955794	52.0	150.17574987230083	18.181818181818183	21869757.0
