"","NGenes","Direction","PValue","FDR"
"GO_ER_TO_GOLGI_TRANSPORT_VESICLE_MEMBRANE",40,"Up",5.54326715820643e-06,0.000589380814373838
"GO_SMALL_NUCLEAR_RIBONUCLEOPROTEIN_COMPLEX",60,"Down",5.54846408597348e-06,0.000589380814373838
"GO_REVERSE_CHOLESTEROL_TRANSPORT",11,"Up",5.89214364482567e-06,0.000607481851872377
"GO_POSITIVE_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY",19,"Up",5.91607062365568e-06,0.000607481851872377
"GO_POSITIVE_REGULATION_OF_EPIDERMAL_GROWTH_FACTOR_ACTIVATED_RECEPTOR_ACTIVITY",7,"Up",6.06054396763028e-06,0.000611929759956395
"GO_RESPONSE_TO_INTERFERON_BETA",18,"Up",6.15803361748035e-06,0.000611929759956395
"GO_SPLICEOSOMAL_TRI_SNRNP_COMPLEX",26,"Down",7.52526212064565e-06,0.000735922855957109
"GO_ORGANIC_ANION_TRANSPORT",226,"Up",7.65130355329748e-06,0.000736557518622903
"GO_PROTEIN_LIPID_COMPLEX_ASSEMBLY",14,"Up",7.89349851967373e-06,0.000741110027213924
"GO_CATALYTIC_STEP_2_SPLICEOSOME",87,"Down",7.93917575005989e-06,0.000741110027213924
"GO_VERY_LOW_DENSITY_LIPOPROTEIN_PARTICLE",12,"Up",8.91701344522834e-06,0.000807907644647821
"GO_TRIGLYCERIDE_RICH_LIPOPROTEIN_PARTICLE",12,"Up",8.91701344522834e-06,0.000807907644647821
"GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY",112,"Down",9.08899747697331e-06,0.000811555267472935
"GO_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS",416,"Down",9.48973760735236e-06,0.000835232477127113
"GO_NEUTRAL_LIPID_CATABOLIC_PROCESS",17,"Up",1.12109527888863e-05,0.000959315001837894
"GO_ACYLGLYCEROL_CATABOLIC_PROCESS",17,"Up",1.12109527888863e-05,0.000959315001837894
"GO_REGULATION_OF_LIPOPROTEIN_LIPASE_ACTIVITY",8,"Up",1.16088074450493e-05,0.000979751543410255
"GO_INTRINSIC_COMPONENT_OF_ENDOPLASMIC_RETICULUM_MEMBRANE",108,"Up",1.224071681221e-05,0.00101912238216251
"GO_INTESTINAL_ABSORPTION",20,"Up",1.28813209456339e-05,0.00105815757794734
"GO_RRNA_METABOLIC_PROCESS",237,"Down",1.36145778353334e-05,0.00110367650057223
"GO_PROTEIN_N_LINKED_GLYCOSYLATION",62,"Up",1.38237704355675e-05,0.00110608116433158
"GO_PHOSPHOLIPID_TRANSPORT",40,"Up",1.45962362539026e-05,0.00115291553282428
"GO_MULTI_ORGANISM_METABOLIC_PROCESS",132,"Down",1.6293663916373e-05,0.00127069953656676
"GO_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",199,"Up",1.83075626120289e-05,0.00140991116565888
"GO_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM",111,"Down",1.86264434994527e-05,0.00141675948642134
"GO_PLASMA_LIPOPROTEIN_PARTICLE_CLEARANCE",14,"Up",1.93206038619413e-05,0.00145163707796854
"GO_SYMPORTER_ACTIVITY",69,"Up",1.96119907620497e-05,0.00145577680825287
"GO_SUGAR_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",21,"Up",2.33826987806143e-05,0.00171500960937339
"GO_DIGESTIVE_SYSTEM_PROCESS",35,"Up",2.98290135018839e-05,0.00216207708453067
"GO_CARBOHYDRATE_TRANSPORTER_ACTIVITY",25,"Up",3.23865055942316e-05,0.00232015419727978
"GO_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS",257,"Down",3.32059618870409e-05,0.00235151645041447
"GO_CYTOPLASMIC_TRANSLATION",39,"Down",3.45844013804943e-05,0.00242130110119574
"GO_RIBOSOMAL_SUBUNIT",147,"Down",3.58949926820624e-05,0.00247585290576705
"GO_ANION_TRANSPORT",289,"Up",3.64431276846527e-05,0.00247585290576705
"GO_RIBOSOME_BIOGENESIS",288,"Down",3.65691631918198e-05,0.00247585290576705
"GO_REGULATION_OF_ALPHA_BETA_T_CELL_PROLIFERATION",11,"Up",3.89568075000958e-05,0.00260883577182707
"GO_GLYCOSPHINGOLIPID_METABOLIC_PROCESS",48,"Up",4.02521770344519e-05,0.00266659852375547
"GO_CATION_SUGAR_SYMPORTER_ACTIVITY",10,"Up",4.08528463020004e-05,0.0026775998517726
"GO_NEGATIVE_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY",27,"Up",4.18189435026207e-05,0.00271206853599628
"GO_ZINC_II_ION_TRANSPORT",18,"Up",4.44964883308997e-05,0.00285565483965285
"GO_ANION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",151,"Up",4.57996854050964e-05,0.00290898826578143
"GO_IMMUNE_EFFECTOR_PROCESS",275,"Up",4.99784359161762e-05,0.00314201167019961
"GO_TRANSCRIPTION_COUPLED_NUCLEOTIDE_EXCISION_REPAIR",72,"Down",5.27880623542771e-05,0.00325981170737902
"GO_RIBONUCLEOPROTEIN_COMPLEX",647,"Down",5.29104318678627e-05,0.00325981170737902
"GO_DNA_GEOMETRIC_CHANGE",75,"Down",5.39442038228365e-05,0.00326226774548322
"GO_OLIGOSACCHARIDE_METABOLIC_PROCESS",46,"Up",5.40093020677306e-05,0.00326226774548322
"GO_POSITIVE_REGULATION_OF_TRIGLYCERIDE_LIPASE_ACTIVITY",6,"Up",5.50887312581851e-05,0.00329516187652115
"GO_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY",81,"Up",5.72718282775647e-05,0.0033928051347892
"GO_O_GLYCAN_PROCESSING",44,"Up",6.30333018260485e-05,0.00369855402428842
"GO_PROTEIN_LIPID_COMPLEX",22,"Up",6.45708590600644e-05,0.00375302889310431
"GO_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY",28,"Up",6.65053346209933e-05,0.00382933987476579
"GO_ORGANIC_HYDROXY_COMPOUND_TRANSPORT",89,"Up",6.93373040946045e-05,0.0039554363937672
"GO_GLYCOPROTEIN_METABOLIC_PROCESS",258,"Up",7.10065955328647e-05,0.00397709463477908
"GO_ZINC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",16,"Up",7.10080197736892e-05,0.00397709463477908
"GO_U4_U6_X_U5_TRI_SNRNP_COMPLEX",21,"Down",7.38945714106498e-05,0.00410148157172084
"GO_NEGATIVE_REGULATION_OF_MULTI_ORGANISM_PROCESS",100,"Up",7.86205383909403e-05,0.00428841353929719
"GO_CYTOSOLIC_PART",181,"Down",7.86545576920276e-05,0.00428841353929719
"GO_GLYCOSYLATION",206,"Up",7.95652052679508e-05,0.00430001078645478
"GO_LARGE_RIBOSOMAL_SUBUNIT",86,"Down",8.18399073808483e-05,0.00434343087711887
"GO_VACUOLAR_LUMEN",82,"Up",8.23878336559333e-05,0.00434343087711887
"GO_GLYCOSYLCERAMIDE_METABOLIC_PROCESS",9,"Up",8.30771836291557e-05,0.00434343087711887
"GO_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY",90,"Up",8.31885803441043e-05,0.00434343087711887
"GO_HETEROCHROMATIN",61,"Down",8.61165626104851e-05,0.00445852220372436
"GO_ORGANIC_ACID_TRANSPORT",147,"Up",9.33714426922795e-05,0.00479384548689278
"GO_POLY_A_RNA_BINDING",1104,"Down",9.51893453753812e-05,0.00482573477706108
"GO_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_CIRCULATORY_RENIN_ANGIOTENSIN",7,"Up",9.55591044962591e-05,0.00482573477706108
"GO_RECEPTOR_ACTIVITY",483,"Up",9.89296711799935e-05,0.00495533092796699
"GO_DEFENSE_RESPONSE_TO_GRAM_POSITIVE_BACTERIUM",31,"Up",0.000109528078041257,0.00542390142460709
"GO_U5_SNRNP",16,"Down",0.000110747067057467,0.00542390142460709
"GO_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY",65,"Up",0.000110925430855461,0.00542390142460709
"GO_PROTEIN_TARGETING_TO_MEMBRANE",136,"Down",0.000112394894787004,0.00545247989592703
"GO_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE",79,"Up",0.000115376667400862,0.00555340349888054
"GO_SWI_SNF_SUPERFAMILY_TYPE_COMPLEX",63,"Down",0.000119580428775538,0.00571112419911695
"GO_CHOLESTEROL_TRANSPORTER_ACTIVITY",6,"Up",0.000125307302343971,0.00587276359460964
"GO_N_GLYCAN_PROCESSING",16,"Up",0.000125502945526888,0.00587276359460964
"GO_RIBOSOME",198,"Down",0.000125824508113695,0.00587276359460964
"GO_POSITIVE_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY",47,"Up",0.000127814259796375,0.00592077935793585
"GO_TRIGLYCERIDE_CATABOLIC_PROCESS",14,"Up",0.000134387054707604,0.00613854859612648
"GO_ANTIMICROBIAL_HUMORAL_RESPONSE",23,"Up",0.000134936360489301,0.00613854859612648
"GO_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",178,"Up",0.000135504400109268,0.00613854859612648
"GO_ACETYLGLUCOSAMINYLTRANSFERASE_ACTIVITY",40,"Up",0.000137512050955183,0.00618402734259036
"GO_POSITIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS",89,"Up",0.000140438475035504,0.006269865541259
"GO_TRANSITION_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",29,"Up",0.000143016804866051,0.0063390398185593
"GO_SPLICEOSOMAL_COMPLEX",166,"Down",0.000158772860753952,0.00696058458673265
"GO_REGULATION_OF_VIRAL_GENOME_REPLICATION",65,"Up",0.000159299209013034,0.00696058458673265
"GO_LYSOSOMAL_LUMEN",64,"Up",0.000160503074936903,0.00696379890624127
"GO_RNA_SPLICING",341,"Down",0.000163331530259909,0.00703696194357551
"GO_REGULATION_OF_RESPONSE_TO_INTERFERON_GAMMA",20,"Up",0.000167003847030013,0.00714521320522161
"GO_NEUTRAL_LIPID_METABOLIC_PROCESS",51,"Up",0.000168260023680734,0.00714931038549657
"GO_CHOLESTEROL_EFFLUX",16,"Up",0.00017123488270048,0.00722587748162778
"GO_NUCLEOTIDE_EXCISION_REPAIR",107,"Down",0.000180015086614194,0.00754471393625883
"GO_RESPONSE_TO_BIOTIC_STIMULUS",506,"Up",0.000184504717149218,0.00768063217808334
"GO_ANION_TRANSMEMBRANE_TRANSPORT",134,"Up",0.000186544120923296,0.00771341160408338
"GO_NEGATIVE_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY",21,"Up",0.000188788161043907,0.00775415906794341
"GO_REGULATION_OF_STEROL_TRANSPORT",25,"Up",0.000191549614557202,0.00776406036372974
"GO_REGULATION_OF_CHOLESTEROL_TRANSPORT",25,"Up",0.000191549614557202,0.00776406036372974
"GO_UDP_GLYCOSYLTRANSFERASE_ACTIVITY",90,"Up",0.000193770248347737,0.00780273529457783
"GO_SULFUR_COMPOUND_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",14,"Up",0.000200564561864737,0.00802388484187434
"GO_STEROL_TRANSPORT",34,"Up",0.000208603988777234,0.00829167209584865
"GO_STRUCTURE_SPECIFIC_DNA_BINDING",103,"Down",0.000211987082241203,0.0083721308569747
"GO_FORMATION_OF_TRANSLATION_PREINITIATION_COMPLEX",21,"Down",0.000213681037673221,0.00838527944652686
"GO_NUCLEOTIDE_EXCISION_REPAIR_DNA_INCISION",37,"Down",0.000222513981405238,0.00867663695846627
"GO_NUCLEAR_CHROMOSOME_SEGREGATION",182,"Down",0.000224553529350672,0.00868888684906378
"GO_SIGNALING_RECEPTOR_ACTIVITY",350,"Up",0.000225648741413765,0.00868888684906378
"GO_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE",23,"Up",0.000233136834136935,0.00891482217032017
"GO_REGULATION_OF_LIPID_STORAGE",32,"Up",0.000234533800617139,0.00891482217032017
"GO_CHROMOSOME_SEPARATION",15,"Down",0.000235857168278232,0.00891482217032017
"GO_APICAL_PLASMA_MEMBRANE",201,"Up",0.000245116885446279,0.00920832397094223
"GO_CILIUM_MOVEMENT",28,"Down",0.00024721384070259,0.00923081498526458
"GO_DEFENSE_RESPONSE",609,"Up",0.000249911312093537,0.00925081822527848
"GO_REPLICATION_FORK",59,"Down",0.000250752579714577,0.00925081822527848
"GO_REGULATION_OF_TRIGLYCERIDE_BIOSYNTHETIC_PROCESS",15,"Up",0.000261805961002438,0.00952658117451627
"GO_MICROTUBULE_BUNDLE_FORMATION",55,"Down",0.000262619453390489,0.00952658117451627
"GO_MICROTUBULE_BASED_PROCESS",448,"Down",0.000262866222961819,0.00952658117451627
"GO_CHROMOSOME_SEGREGATION",225,"Down",0.00027226732659492,0.00980958479035849
"GO_NEGATIVE_REGULATION_OF_IMMUNE_RESPONSE",73,"Up",0.000278649746107684,0.00998116910331072
"GO_DNA_CONFORMATION_CHANGE",220,"Down",0.000286049755337966,0.0101264675950495
"GO_RNA_PROCESSING",768,"Down",0.000287139282275917,0.0101264675950495
"GO_LIPID_LOCALIZATION",171,"Up",0.000287637044170372,0.0101264675950495
"GO_PEPTIDE_HORMONE_PROCESSING",14,"Up",0.000297734545498008,0.0104220448176312
"GO_CELLULAR_RESPONSE_TO_CYTOKINE_STIMULUS",352,"Up",0.000299415992975282,0.0104220448176312
"GO_AXONEME_ASSEMBLY",33,"Down",0.000308532572148695,0.0106790403202703
"GO_MRNA_METABOLIC_PROCESS",557,"Down",0.000327112758479766,0.0112588922066695
"GO_POSITIVE_REGULATION_OF_LIPID_STORAGE",15,"Up",0.000339710095739392,0.0115868932229733
"GO_DETECTION_OF_BIOTIC_STIMULUS",9,"Up",0.000340403777529326,0.0115868932229733
"GO_CHROMOSOME_ORGANIZATION",850,"Down",0.000352388886606354,0.0118235601110698
"GO_REGULATION_OF_INNATE_IMMUNE_RESPONSE",256,"Up",0.000352534176844194,0.0118235601110698
"GO_CELL_SURFACE",372,"Up",0.000353194388079667,0.0118235601110698
"GO_POSITIVE_REGULATION_OF_TRIGLYCERIDE_METABOLIC_PROCESS",15,"Up",0.000355033049918505,0.0118235601110698
"GO_ORGANIC_HYDROXY_COMPOUND_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",25,"Up",0.000369666366772541,0.0122447015359442
"GO_DETECTION_OF_OTHER_ORGANISM",7,"Up",0.000375627586573843,0.0123756233202216
"GO_DIVALENT_INORGANIC_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",90,"Up",0.000379397895634956,0.0124333533776966
"GO_CYTOKINE_RECEPTOR_ACTIVITY",34,"Up",0.000386951202938592,0.0126137902714532
"GO_STRUCTURAL_MOLECULE_ACTIVITY",498,"Down",0.000393541582904572,0.0127536846753181
"GO_TRANSFERASE_ACTIVITY_TRANSFERRING_HEXOSYL_GROUPS",141,"Up",0.00039538285554062,0.0127536846753181
"GO_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE",38,"Up",0.000399436239111433,0.0128173264019038
"GO_DNA_DAMAGE_RESPONSE_DETECTION_OF_DNA_DAMAGE",35,"Down",0.000402017679451438,0.0128333208450793
"GO_NEGATIVE_REGULATION_OF_SMOOTHENED_SIGNALING_PATHWAY",17,"Down",0.000406282765077261,0.0128786797432602
"GO_U2_SNRNP",19,"Down",0.000407619306920262,0.0128786797432602
"GO_LIPID_DIGESTION",8,"Up",0.000409819558706928,0.0128821341897622
"GO_POSITIVE_REGULATION_OF_T_CELL_CYTOKINE_PRODUCTION",10,"Up",0.000411952641011502,0.0128834528998572
"GO_TRANSFERASE_ACTIVITY_TRANSFERRING_GLYCOSYL_GROUPS",198,"Up",0.000425097317640469,0.0132273968382976
"GO_RIBONUCLEOPROTEIN_COMPLEX_SUBUNIT_ORGANIZATION",187,"Down",0.000427430485304309,0.013233161909346
"GO_APICAL_PART_OF_CELL",254,"Up",0.000433511077728908,0.0133226296286439
"GO_HIGH_DENSITY_LIPOPROTEIN_PARTICLE",10,"Up",0.000434645115299048,0.0133226296286439
"GO_MICROTUBULE_BASED_MOVEMENT",177,"Down",0.000439255118301111,0.013368316330504
"GO_TOLL_LIKE_RECEPTOR_4_SIGNALING_PATHWAY",9,"Up",0.000440475282436667,0.013368316330504
"GO_RAGE_RECEPTOR_BINDING",9,"Down",0.000453713211180104,0.0136692388965149
"GO_GLYCEROLIPID_CATABOLIC_PROCESS",24,"Up",0.000454827783441902,0.0136692388965149
"GO_U2_TYPE_SPLICEOSOMAL_COMPLEX",30,"Down",0.000458427719165674,0.0137105494066977
"GO_ION_ANTIPORTER_ACTIVITY",23,"Up",0.000467758035525189,0.0139220157336748
"GO_SISTER_CHROMATID_SEGREGATION",158,"Down",0.000484374303895126,0.0143472600302782
"GO_CONDENSED_CHROMOSOME",162,"Down",0.000494917021595328,0.0145656475928702
"GO_MITOTIC_SPINDLE",53,"Down",0.000497112198721346,0.0145656475928702
"GO_NUCLEOSOME_BINDING",43,"Down",0.000498839740642042,0.0145656475928702
"GO_RESPONSE_TO_CYTOKINE",435,"Up",0.000511065293861591,0.0147970117319234
"GO_REGULATION_OF_INTERFERON_ALPHA_PRODUCTION",13,"Up",0.000511566872082404,0.0147970117319234
"GO_NCRNA_PROCESSING",366,"Down",0.000527487033815732,0.015186203809994
"GO_SPLICEOSOMAL_SNRNP_ASSEMBLY",37,"Down",0.000530948818406889,0.0152147705590923
"GO_SPINDLE",266,"Down",0.000534781784514845,0.015253660066648
"GO_REGULATION_OF_TRIGLYCERIDE_METABOLIC_PROCESS",24,"Up",0.000542807065341012,0.01535361236981
"GO_DAMAGED_DNA_BINDING",59,"Down",0.000544136587402743,0.01535361236981
"GO_CHROMOSOMAL_REGION",296,"Down",0.000545762231616361,0.01535361236981
"GO_ANTIGEN_PROCESSING_AND_PRESENTATION_VIA_MHC_CLASS_IB",7,"Up",0.000564169716938161,0.0157993164820728
"GO_SULFUR_COMPOUND_TRANSPORT",19,"Up",0.000570551935730419,0.0159057487603399
"GO_CHROMOSOME",766,"Down",0.000575719839089758,0.015977522201045
"GO_DNA_HELICASE_ACTIVITY",47,"Down",0.000582972401977926,0.0161062464959014
"GO_GLUCURONATE_METABOLIC_PROCESS",8,"Up",0.000589203494990704,0.0161337010339455
"GO_URONIC_ACID_METABOLIC_PROCESS",8,"Up",0.000589203494990704,0.0161337010339455
"GO_EUKARYOTIC_TRANSLATION_INITIATION_FACTOR_3_COMPLEX",16,"Down",0.000592997882131439,0.0161498635338128
"GO_NUCLEAR_OUTER_MEMBRANE_ENDOPLASMIC_RETICULUM_MEMBRANE_NETWORK",745,"Up",0.000595158292784466,0.0161498635338128
"GO_BRUSH_BORDER_MEMBRANE",40,"Up",0.000597657666890005,0.0161498635338128
"GO_POSITIVE_REGULATION_OF_INTERLEUKIN_6_PRODUCTION",39,"Up",0.000627385453581426,0.0168791344083632
"GO_REGULATION_OF_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY",35,"Up",0.000632489855292083,0.0169424782541501
"GO_FATTY_ACID_BINDING",20,"Up",0.000638763559025451,0.0170225518364419
"GO_MICROTUBULE_MOTOR_ACTIVITY",66,"Down",0.00064100503587965,0.0170225518364419
"GO_REGULATION_OF_INTERLEUKIN_6_PRODUCTION",62,"Up",0.000653106204255171,0.0172694734953481
"GO_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",511,"Up",0.000666376580897742,0.0175007057840833
"GO_NEGATIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION",82,"Down",0.000667532195951886,0.0175007057840833
"GO_ENDOPLASMIC_RETICULUM_PART",847,"Up",0.00067371723297271,0.017588016408241
"GO_NUCLEOSOMAL_DNA_BINDING",29,"Down",0.000699385497821001,0.0181810719496843
"GO_ACTIVATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY",4,"Up",0.000731536669887797,0.0189369639629358
"GO_POSITIVE_REGULATION_OF_CHEMOKINE_PRODUCTION",25,"Up",0.000737723055981503,0.0189884566880918
"GO_HYDROLASE_ACTIVITY_ACTING_ON_GLYCOSYL_BONDS",80,"Up",0.000739689921302066,0.0189884566880918
"GO_MICROTUBULE_CYTOSKELETON_ORGANIZATION",300,"Down",0.000751652862065251,0.0191789977199159
"GO_DNA_DEPENDENT_DNA_REPLICATION",92,"Down",0.000753338329527617,0.0191789977199159
"GO_NEGATIVE_REGULATION_OF_CYTOKINE_SECRETION",19,"Up",0.000764242114417931,0.019317084353631
"GO_PRECATALYTIC_SPLICEOSOME",22,"Down",0.00076503304370816,0.019317084353631
"GO_NEGATIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION",36,"Up",0.000784092879780516,0.0197136766510453
"GO_DIVALENT_INORGANIC_CATION_HOMEOSTASIS",174,"Up",0.000788351948524762,0.0197136766510453
