Geneid,Length,Ensembl,symbol,entrezid,logFC,logCPM,LR,PValue,FDR
ENSG00000165949.12,4147,ENSG00000165949,IFI27,3429,3.0321343404726457,5.382640875218993,46.22522612048044,1.0541100843343935e-11,1.0323791995188845e-8
ENSG00000107201.10,4640,ENSG00000107201,DDX58,23586,1.173033777918757,5.845787106064304,45.25887923676876,1.7263606449238354e-11,1.570001695083591e-8
ENSG00000196684.12,3398,ENSG00000196684,HSH2D,84941,1.826023952854501,2.662458041533841,43.775046123562745,3.683720121984805e-11,3.126741639540702e-8
ENSG00000109472.14,3119,ENSG00000109472,CPE,1363,1.5381354486479302,2.2755400851115195,42.674101466731955,6.466277126599641e-11,5.145540023491664e-8
ENSG00000137959.16,10240,ENSG00000137959,IFI44L,10964,2.383607296175066,7.888160317238903,41.62033490292809,1.1083443718860565e-10,8.300847378148984e-8
ENSG00000183486.13,12994,ENSG00000183486,MX2,4600,2.3353154701288057,4.402438857065926,40.40498105773678,2.0641418899098399e-10,1.4008115846984482e-7
ENSG00000138642.15,5779,ENSG00000138642,HERC6,55008,1.7671145997364042,5.402746840060838,40.38025087763671,2.0904351326791172e-10,1.4008115846984482e-7
ENSG00000117228.10,4862,ENSG00000117228,GBP1,2633,2.010181755707421,4.691521158190807,39.50668836249585,3.269377356416526e-10,2.0812856250947605e-7
ENSG00000197142.10,4236,ENSG00000197142,ACSL5,51703,2.0325831659069404,3.7109718654014374,39.36007707923521,3.5242936175889885e-10,2.136728873292524e-7
ENSG00000206503.13,2710,ENSG00000206503,HLA-A,3105,2.0482102561676543,5.600253614783836,38.53202185002696,5.386264872329395e-10,3.117178379749903e-7
ENSG00000111331.13,8161,ENSG00000111331,OAS3,4940,1.6414524544247786,6.860055244658918,37.18819647427377,1.072610556594443e-9,5.937598959374108e-7
ENSG00000134321.12,4722,ENSG00000134321,RSAD2,91543,2.1764906217078916,4.3250738475418355,35.93909888713898,2.0358218353474706e-9,1.0800034836518332e-6
ENSG00000162654.9,6141,ENSG00000162654,GBP4,115361,1.928416786500719,3.6494078292970222,35.840019017692356,2.1420255514029133e-9,1.0908907728184756e-6
ENSG00000138496.16,8938,ENSG00000138496,PARP9,83666,0.9517978584909467,6.982980978688463,35.70719183838048,2.2931589343633926e-9,1.1229422904736428e-6
ENSG00000105227.15,6250,ENSG00000105227,PRX,57716,-0.9402539141858082,6.975334689228756,34.552719692046296,4.1486149655067704e-9,1.956302434845637e-6
ENSG00000134326.11,4302,ENSG00000134326,CMPK2,129607,2.1329666045207576,4.764226944219478,33.97041997972791,5.595632661003849e-9,2.5444141085678933e-6
ENSG00000100170.10,5081,ENSG00000100170,SLC5A1,6523,2.27429220582374,3.0617123311839207,33.655518020274,6.578799137811951e-9,2.88831967664213e-6
ENSG00000137752.24,3698,ENSG00000137752,CASP1,834,2.0496908805478258,3.3453540337629417,33.58923925254261,6.806825272915035e-9,2.888816645825141e-6
ENSG00000177409.12,7150,ENSG00000177409,SAMD9L,219285,1.4975171206351536,5.4745404300461304,32.85117965060091,9.94906814363078e-9,4.086178567893777e-6
ENSG00000111335.13,6264,ENSG00000111335,OAS2,4939,2.174536871385662,6.409310680758783,31.968129765903033,1.5672282422420668e-8,6.2356093688206235e-6
ENSG00000163840.10,5768,ENSG00000163840,DTX3L,151636,0.6984413519621019,7.914898154425933,31.835283026112112,1.6781640016167836e-8,6.474661838965118e-6
ENSG00000187608.10,867,ENSG00000187608,ISG15,9636,1.4339424443245785,5.7268857760684275,31.261769950513813,2.2547631913734558e-8,8.44342498604907e-6
ENSG00000204264.12,3480,ENSG00000204264,PSMB8,5696,1.0963167398489755,4.410890784376282,30.69428420933017,3.020535088213031e-8,1.0987843640893803e-5
ENSG00000119917.14,2537,ENSG00000119917,IFIT3,3437,1.5164924951150165,6.364253265238853,30.376782734945817,3.557608289440843e-8,1.2293748696148297e-5
ENSG00000196188.11,2657,ENSG00000196188,CTSE,1510,1.5456727272003623,2.486853213903909,30.3686032435061,3.57264138986402e-8,1.2293748696148297e-5
ENSG00000204740.11,7751,ENSG00000204740,MALRD1,340895,1.529504239714699,3.541214376051759,29.719757812369743,4.992339562312211e-8,1.6726965080883964e-5
ENSG00000204525.16,2507,ENSG00000204525,HLA-C,3107,1.26599215406007,5.945699054912093,29.36752383503153,5.987264345352465e-8,1.9546115293596815e-5
ENSG00000221963.6,10065,ENSG00000221963,APOL6,80830,1.0052529661440415,6.547176531171326,28.86376368142364,7.76521317168087e-8,2.471667352546021e-5
ENSG00000168394.11,4805,ENSG00000168394,TAP1,6890,1.254412478339837,2.9450264838480846,28.362006636329404,1.0062079364656012e-7,3.124643767580496e-5
ENSG00000089127.13,4941,ENSG00000089127,OAS1,4938,1.5814367762853982,5.803879572752296,27.836147221669776,1.320360513127683e-7,4.002578584081348e-5
ENSG00000124201.15,9340,ENSG00000124201,ZNFX1,57169,0.5008054635595894,7.284805525506426,26.743863072977614,2.3228827996011555e-7,6.877893908028352e-5
ENSG00000168961.17,5714,ENSG00000168961,LGALS9,3965,1.2004032992545086,4.04202998757645,26.333375960919746,2.8728098522982475e-7,8.31286705442302e-5
ENSG00000184979.10,1858,ENSG00000184979,USP18,11274,1.4680585683364122,3.4711268942618902,25.607276836320597,4.1845835836522994e-7,1.1839581819346907e-4
ENSG00000168016.14,12174,ENSG00000168016,TRANK1,9881,0.8681053599844168,4.386690476579024,25.425431732374754,4.598162539197922e-7,1.2726914228058248e-4
ENSG00000158022.6,2573,ENSG00000158022,TRIM63,84676,1.1588046714943487,2.0976248773019615,24.847286011932844,6.205635319556321e-7,1.6803277289969228e-4
ENSG00000119922.10,4074,ENSG00000119922,IFIT2,3433,0.849245790587081,5.2175763454688715,24.807550731034922,6.334883049941274e-7,1.6803277289969228e-4
ENSG00000111885.7,5018,ENSG00000111885,MAN1A1,4121,0.8584106695914947,4.133650971144272,24.518449262585673,7.360170321523953e-7,1.9124426231355705e-4
ENSG00000124602.10,3156,ENSG00000124602,UNC5CL,222643,1.5719645913580955,3.312268954854307,23.92415697166749,1.0020642826974128e-6,2.5516564894606915e-4
ENSG00000183346.7,1789,ENSG00000183346,C10orf107,219621,-0.7599599928212379,4.241450071852412,23.787219319452255,1.0759452366664147e-6,2.686065637889567e-4
ENSG00000092421.16,10956,ENSG00000092421,SEMA6A,57556,1.1860692895123168,3.444101354313147,23.49563409417739,1.2519754895220882e-6,3.06541383319139e-4
ENSG00000133135.14,3418,ENSG00000133135,RNF128,79589,1.23580592781461,2.086308598601923,23.432068349917586,1.2940329393808654e-6,3.108608940414562e-4
ENSG00000106785.15,5481,ENSG00000106785,TRIM14,9830,0.764413107612376,6.369970407256259,23.32029779558131,1.3714503554513105e-6,3.2335751714085344e-4
ENSG00000188313.13,4332,ENSG00000188313,PLSCR1,5359,0.8295710458151648,6.855882861240698,23.013990183639624,1.6082677391764915e-6,3.722993610035471e-4
ENSG00000140105.18,6356,ENSG00000140105,WARS,7453,0.9262999336841953,5.813327561782129,22.846431639038887,1.7547480974066154e-6,3.9585696804550735e-4
ENSG00000257743.8,8162,ENSG00000257743,MGAM2,93432,2.1260042784204836,3.340053384162945,22.827394279897593,1.7722154554346465e-6,3.9585696804550735e-4
ENSG00000181381.13,12156,ENSG00000181381,DDX60L,91351,0.8515182055246651,5.457170201645243,22.777929470700595,1.818420630629947e-6,3.9917468050311184e-4
ENSG00000121858.11,3441,ENSG00000121858,TNFSF10,8743,1.2785563331852932,3.9966796718687885,22.47286707473353,2.13132988782883e-6,4.599337649463841e-4
ENSG00000179914.5,1492,ENSG00000179914,ITLN1,55600,2.3538182442832944,3.3470673388153434,22.28374086168848,2.351895841141894e-6,4.990722974903099e-4
ENSG00000110244.7,1471,ENSG00000110244,APOA4,337,2.227431559846452,5.597637684607437,22.007095572319468,2.716443643432373e-6,5.669796798062455e-4
ENSG00000113494.17,13006,ENSG00000113494,PRLR,5618,0.7129459077294458,5.226458868634229,21.722783481092584,3.1502753781106877e-6,6.445274709697024e-4
ENSG00000187908.19,9379,ENSG00000187908,DMBT1,1755,1.3392492502711726,3.4523844961628365,21.699209710906516,3.1892264114900446e-6,6.445274709697024e-4
ENSG00000160710.17,9629,ENSG00000160710,ADAR,103,0.4981566568936236,8.668431006010415,21.470905239560377,3.592380749632398e-6,7.146592453799952e-4
ENSG00000119888.11,2430,ENSG00000119888,EPCAM,4072,0.9392244381674316,5.6610372552783685,21.436708223351197,3.657023075843274e-6,7.163264277174857e-4
ENSG00000130589.16,12066,ENSG00000130589,HELZ2,85441,0.9682106430512822,5.392242526252941,21.3781204327613,3.7704957272001475e-6,7.227346778381884e-4
ENSG00000117280.13,3904,ENSG00000117280,RAB29,8934,0.9311649981307728,5.023119075350243,21.361528009011394,3.8032691969178933e-6,7.227346778381884e-4
ENSG00000111801.16,5658,ENSG00000111801,BTN3A3,10384,1.0694993426875863,3.222152742044781,21.266451634496466,3.996653499401386e-6,7.472710407431563e-4
ENSG00000114455.13,3627,ENSG00000114455,HHLA2,11148,1.715041497568626,4.348385404532868,21.241143661361676,4.049772369720216e-6,7.472710407431563e-4
ENSG00000110446.11,6509,ENSG00000110446,SLC15A3,51296,1.071478173665991,3.853755772834024,21.183159361891775,4.174162147048876e-6,7.552199687084606e-4
ENSG00000152778.9,4029,ENSG00000152778,IFIT5,24138,0.6401661156893761,6.018139597834704,21.162613439829897,4.219151930874831e-6,7.552199687084606e-4
ENSG00000150527.17,10539,ENSG00000150527,CTAGE5,4253,0.6855193473790918,5.245847235358963,21.139295737360712,4.2708009540535e-6,7.552199687084606e-4
ENSG00000164342.13,6725,ENSG00000164342,TLR3,7098,0.8545105994672308,2.4057363171728956,21.059607876883238,4.452148024724005e-6,7.76503406175151e-4
ENSG00000184434.8,3588,ENSG00000184434,LRRC19,64922,2.1386786233069475,4.01543587144072,20.748343085758783,5.2376877647670425e-6,9.011654137974863e-4
ENSG00000069849.11,2617,ENSG00000069849,ATP1B3,483,0.93777162783274,3.8550687042477767,20.65947415088591,5.486502826006022e-6,9.313887197427823e-4
ENSG00000084674.15,14828,ENSG00000084674,APOB,338,2.3341559717746994,7.6683211016264545,20.614019395939895,5.618318320619928e-6,9.412161691859594e-4
ENSG00000079112.10,3878,ENSG00000079112,CDH17,1015,2.2766696684806287,3.862363831102963,20.34260093972589,6.474295072876505e-6,0.00107052889438784
ENSG00000119125.17,7904,ENSG00000119125,GDA,9615,1.7104440376089098,4.743912641231493,20.1508436503604,7.156867407913956e-6,0.0011682209722764165
ENSG00000156587.16,2062,ENSG00000156587,UBE2L6,9246,1.2269098118282045,5.409233961183074,20.061696017847467,7.498353406349839e-6,0.0012084688046790652
ENSG00000100600.15,3876,ENSG00000100600,LGMN,5641,1.1543693383864653,4.286328424121035,20.00373204778728,7.729116601188181e-6,0.001230088907079099
ENSG00000133106.14,4924,ENSG00000133106,EPSTI1,94240,1.1765841154384322,6.4829787036294375,19.952054138601703,7.940859656031497e-6,0.0012481854955628767
ENSG00000173930.9,5069,ENSG00000173930,SLCO4C1,353189,0.9203492123756607,3.6632989132900358,19.870355819878867,8.287552313904293e-6,0.0012867940983003593
ENSG00000163251.4,7039,ENSG00000163251,FZD5,7855,0.8483291228451119,3.6276635270824102,19.812355227889903,8.542868343674718e-6,0.0013104554186947773
ENSG00000164251.5,2930,ENSG00000164251,F2RL1,2150,1.3484774159295152,4.016733769055992,19.66604264506768,9.22257541925173e-6,0.0013978789314037265
ENSG00000055332.18,10753,ENSG00000055332,EIF2AK2,5610,0.5599359626804539,8.412627003498756,19.63404524905136,9.378313655027983e-6,0.001404761052421368
ENSG00000186470.14,7042,ENSG00000186470,BTN3A2,11118,1.038048453129651,4.269318761198997,19.595775965829674,9.568050144053562e-6,0.0014114014317614758
ENSG00000170571.12,5240,ENSG00000170571,EMB,133418,1.6647437901713795,3.3838758242955773,19.580599956559617,9.644354741065693e-6,0.0014114014317614758
ENSG00000123643.13,6971,ENSG00000123643,SLC36A1,206358,1.2062405060952262,3.3731004527881634,19.499061693746786,1.0064911057177008e-5,0.0014562096315906554
ENSG00000138798.13,7628,ENSG00000138798,EGF,1950,0.7316406215238451,4.2667453867179566,19.313915770050578,1.1089518561521451e-5,0.0015833097618691931
ENSG00000134193.15,3414,ENSG00000134193,REG4,83998,2.0663743444332594,3.0243531393421272,19.29633376276237,1.1192104819999008e-5,0.0015833097618691931
ENSG00000164308.17,6953,ENSG00000164308,ERAP2,64167,1.3152123452162563,2.372678334489734,19.149531289830435,1.208671797431502e-5,0.0016910779477909762
ENSG00000002726.20,3824,ENSG00000002726,AOC1,26,1.4993447672267117,2.8697984961394924,19.05366079672769,1.2709373138620701e-5,0.0017588268737404513
ENSG00000185745.10,4614,ENSG00000185745,IFIT1,3434,1.1250629805437231,6.89773144630551,19.033073727427144,1.2847227400083409e-5,0.0017588268737404513
ENSG00000168955.4,2875,ENSG00000168955,TM4SF20,79853,2.1343081556705124,3.3377637367304227,18.976105627711807,1.3236572474478153e-5,0.0017928514972878281
ENSG00000125730.17,8296,ENSG00000125730,C3,718,1.0042356843906433,3.777293514858903,18.738175447138328,1.4995026545577978e-5,0.00200964924187683
ENSG00000067066.17,14134,ENSG00000067066,SP100,6672,0.554892610420003,7.5036580949787,18.472423389461703,1.723805864207846e-5,0.002286197527405656
ENSG00000103460.17,6754,ENSG00000103460,TOX3,27324,0.4464149607780284,5.46163723381541,18.383580166841803,1.8060766038674883e-5,0.0023706151876743157
ENSG00000187678.9,6565,ENSG00000187678,SPRY4,81848,0.64780065010257315,4.000046209600293,18.307063695871065,1.8800875398696063e-5,0.002442579036491819
ENSG00000122176.12,3034,ENSG00000122176,FMOD,2331,0.7927613396136797,3.5221214675801518,18.280458195099598,1.906529513560969e-5,0.0024519125016826517
ENSG00000112818.10,2981,ENSG00000112818,MEP1A,4224,1.9029068796965742,3.936710366076652,18.177952857867574,2.011944939105524e-5,0.002561608296469153
ENSG00000099139.14,13341,ENSG00000099139,PCSK5,5125,0.8010925277473115,4.939883222653681,18.133595825514366,2.0593580899211557e-5,0.0025960145743441736
ENSG00000250722.6,5502,ENSG00000250722,SEPP1,6414,1.7143628116438867,8.244033213106919,18.113711125551404,2.0809756605994386e-5,0.002597547265760005
ENSG00000066230.12,5754,ENSG00000066230,SLC9A3,6550,1.3933137852695952,3.5138430724492618,17.762755247574972,2.5023414445017765e-5,0.0030931855603297687
ENSG00000139508.15,3776,ENSG00000139508,SLC46A3,283537,1.5402394620768305,3.401033336751853,17.708204954658044,2.5751345446093864e-5,0.003152558944419876
ENSG00000134184.13,2512,ENSG00000134184,GSTM1,2944,-1.7506596792636233,3.829393075411839,17.687681690553323,2.6030688370762654e-5,0.003156406898443334
ENSG00000175311.7,4323,ENSG00000175311,ANKS4B,257629,1.5864485253535698,3.5043042330028547,17.53104119737932,2.8265509273371844e-5,0.003395060981778965
ENSG00000173821.19,28570,ENSG00000173821,RNF213,57674,0.5756379791714188,7.594416259102705,17.40134372103614,3.02611967213057e-5,0.003600799594912749
ENSG00000178685.14,6033,ENSG00000178685,PARP10,84875,0.856097970276244,3.6514898133778773,17.322821907788416,3.153764280982518e-5,0.003717937669024946
ENSG00000057704.13,6512,ENSG00000057704,TMCC3,57458,0.9949257002064281,4.281632114668911,17.286598698660676,3.214459069986037e-5,0.0037547241173451584
ENSG00000107954.10,4961,ENSG00000107954,NEURL1,9148,0.9002052631348165,3.3474255259667807,17.194317263225667,3.374442685286684e-5,0.003905764024460915
ENSG00000174567.8,1029,ENSG00000174567,GOLT1A,127845,1.3811225258011022,2.7530539316476133,17.14981895523045,3.4544233746636054e-5,0.003962316973533065
ENSG00000147168.13,2760,ENSG00000147168,IL2RG,3561,0.9620486412291904,2.2952552514668887,17.030088198433354,3.6792160676810605e-5,0.00416568312617406
ENSG00000118137.9,1424,ENSG00000118137,APOA1,335,2.0412685567273012,6.651701866022673,17.0061281615154,3.725936795583124e-5,0.00416568312617406
ENSG00000135677.11,6268,ENSG00000135677,GNS,2799,0.959340469659042,5.313291194730058,17.00412156635032,3.729876503171873e-5,0.00416568312617406
ENSG00000089472.16,7113,ENSG00000089472,HEPH,9843,1.3426927474788306,2.5794707603743725,16.959727228933705,3.818118681921759e-5,0.004170061285774769
ENSG00000059378.13,5510,ENSG00000059378,PARP12,64761,0.7443715369606653,5.870272725950087,16.957743141457318,3.822111059583539e-5,0.004170061285774769
ENSG00000167588.13,3822,ENSG00000167588,GPD1,2819,1.2174951931426579,3.697311131977391,16.952810635625383,3.832054433204901e-5,0.004170061285774769
ENSG00000198944.6,3485,ENSG00000198944,SOWAHA,134548,0.9562160767090624,4.2600412745847445,16.836780131322037,4.073609597690355e-5,0.004384010590799393
ENSG00000174358.16,5270,ENSG00000174358,SLC6A19,340024,1.5855469442865815,4.924193885016921,16.818210814258762,4.113664327277549e-5,0.004384010590799393
ENSG00000016490.16,3310,ENSG00000016490,CLCA1,1179,2.62351188536086,5.092004414983759,16.80978891164304,4.1319609715357144e-5,0.004384010590799393
ENSG00000127334.11,9470,ENSG00000127334,DYRK2,8445,0.5452457142654915,6.485202432196629,16.768236425157184,4.2234387374588504e-5,0.0044434530594574615
ENSG00000006611.16,4904,ENSG00000006611,USH1C,10083,1.1693497802151815,4.631634770068872,16.752868023874573,4.2577856837402634e-5,0.0044434530594574615
ENSG00000019582.15,4780,ENSG00000019582,CD74,972,1.4664990924011672,4.0482678170202995,16.725682668146703,4.319231607995593e-5,0.00447093144983739
ENSG00000095932.7,1481,ENSG00000095932,SMIM24,284422,1.260349733008837,4.703543286205567,16.696802168229603,4.3854859712003224e-5,0.004502903821396976
ENSG00000157388.19,19184,ENSG00000157388,CACNA1D,776,0.9091636280404761,2.2033850245723343,16.612313220150845,4.5852368435489536e-5,0.00458340817037704
ENSG00000145384.4,2226,ENSG00000145384,FABP2,2169,2.2920608162672713,4.448308788759311,16.60764491870439,4.5965367123109675e-05,0.00458340817037704
ENSG00000134575.13,3484,ENSG00000134575,ACP2,53,0.7558689984086363,4.254935576294374,16.60591561270064,4.600729691384744e-5,0.00458340817037704
ENSG00000163359.16,19465,ENSG00000163359,COL6A3,1293,-1.0491933555442743,2.1720475049638672,16.602967153136603,4.607887573109183e-5,0.00458340817037704
ENSG00000002549.12,3785,ENSG00000002549,LAP3,51056,0.6942198351078017,5.499783094845445,16.541160276749572,4.76053876784196e-5,0.004698541053656111
ENSG00000156381.9,7208,ENSG00000156381,ANKRD9,122416,0.5825012393487269,3.619034436752864,16.492755499964577,4.883631786452457e-5,0.004782953838854822
ENSG00000161921.16,2795,ENSG00000161921,CXCL16,58191,0.8828079811165055,4.0438819902135466,16.46149479110527,4.964823350880581e-5,0.004825353504077218
ENSG00000008517.17,3209,ENSG00000008517,IL32,9235,1.4726260068436159,4.347750303992009,16.418368458474163,5.079065490341551e-5,0.004897922990022759
ENSG00000196116.8,4174,ENSG00000196116,TDRD7,23424,0.5369921085243219,5.459444340248878,16.404475131292525,5.116429136608757e-5,0.004897922990022759
ENSG00000155666.12,4026,ENSG00000155666,KDM8,79831,0.8120095016482206,2.1753724505343053,16.31698064414659,5.3581653844785234e-5,0.0050910568414313856
ENSG00000170542.6,4143,ENSG00000170542,SERPINB9,5272,0.8268666248065669,3.5167939623681064,16.163727202030604,5.809600200787831e-5,0.005479098500476345
ENSG00000163975.12,8394,ENSG00000163975,MELTF,4241,1.294379675424358,4.4888658988383945,16.108727830573653,5.980777055212391e-5,0.005599062754923836
ENSG00000164236.12,10043,ENSG00000164236,ANKRD33B,651746,-0.6487745966952061,3.5965575412015296,16.02708996290841,6.244261030219487e-5,0.005786552861667322
ENSG00000012504.15,3628,ENSG00000012504,NR1H4,9971,1.63743205252418,3.239733170947341,16.010294213804006,6.299900448074238e-5,0.005786552861667322
ENSG00000121380.12,5112,ENSG00000121380,BCL2L14,79370,1.3549436414799347,3.012074683933379,16.005043715742055,6.317395914010036e-5,0.005786552861667322
ENSG00000136872.20,3904,ENSG00000136872,ALDOB,229,1.2954728599605945,7.785899135969377,15.989913449144794,6.368086080590148e-5,0.0057913194270052685
ENSG00000178965.14,8827,ENSG00000178965,ERICH3,127254,-1.3833744772732381,4.778639260288483,15.913081194319396,6.63187688532032e-5,0.005988443723680731
ENSG00000110693.18,19640,ENSG00000110693,SOX6,55553,0.8062605384730753,5.161081426744107,15.866215034147068,6.798153186840175e-5,0.006095358195411909
ENSG00000163577.8,5541,ENSG00000163577,EIF5A2,56648,0.9014381003845015,2.2985558859128266,15.824684891489746,6.94899937500096e-5,0.006187039163812043
ENSG00000165215.6,1274,ENSG00000165215,CLDN3,1365,0.9984118144021271,4.405810266279857,15.737042590608013,7.278477814941798e-5,0.006435387468044373
ENSG00000053438.11,1329,ENSG00000053438,NNAT,4826,-0.6603380844904669,6.825086279721147,15.61553910181825,7.761414250685506e-5,0.006801815636689292
ENSG00000128298.17,2149,ENSG00000128298,BAIAP2L2,80115,1.0135142405489437,3.55262806814593,15.606220562478502,7.799757170567363e-5,0.006801815636689292
ENSG00000166710.20,6079,ENSG00000166710,B2M,567,0.8387878166565838,7.9356434421913855,15.574985678342177,7.929674501272958e-5,0.006827131509333802
ENSG00000166582.10,2850,ENSG00000166582,CENPV,201161,1.1081484626592957,2.6136142163683225,15.573470687755467,7.936030972207058e-5,0.006827131509333802
ENSG00000123609.11,3312,ENSG00000123609,NMI,9111,0.6909655928321689,4.588329829864832,15.508436482161839,8.213784583610048e-5,0.006929039844833707
ENSG00000121068.14,6082,ENSG00000121068,TBX2,6909,-0.7270787045636466,2.8259524106348985,15.49596099404428,8.268173709812833e-5,0.006929039844833707
ENSG00000110799.13,10391,ENSG00000110799,VWF,7450,-0.7469093184732389,2.6080903615513202,15.49291285046733,8.281517629107097e-5,0.006929039844833707
ENSG00000172183.15,7165,ENSG00000172183,ISG20,3669,1.2092552948542699,2.872082960691246,15.489245542414817,8.297600796547237e-5,0.006929039844833707
ENSG00000126709.15,842,ENSG00000126709,IFI6,2537,0.8588690460796837,7.091575816570586,15.48265045199446,8.32660301806124e-5,0.006929039844833707
ENSG00000128228.5,1059,ENSG00000128228,SDF2L1,23753,0.8100157281268889,1.859560279210812,15.45196041694242,8.462911312822313e-5,0.006930960231315094
ENSG00000104635.14,6937,ENSG00000104635,SLC39A14,23516,0.9926087323769872,3.8832278604692334,15.448866305988766,8.476777635875164e-5,0.006930960231315094
ENSG00000224189.8,5120,ENSG00000224189,HAGLR,401022,0.8459017225219138,1.8817301301137395,15.445425903149687,8.492222715089182e-5,0.006930960231315094
ENSG00000108771.13,3824,ENSG00000108771,DHX58,79132,0.7752037611541429,3.1945642293188277,15.394207662794429,8.725535210658528e-5,0.0070760200192423175
ENSG00000125347.14,7778,ENSG00000125347,IRF1,3659,0.8700621052207508,5.591151401003368,15.377309825510192,8.803915731545064e-5,0.007094395892027327
ENSG00000168237.18,4794,ENSG00000168237,GLYCTK,132158,0.9269429896810192,2.593459614827636,15.355719766091562,8.90509285622834e-5,0.0071307951097798255
ENSG00000088386.17,4210,ENSG00000088386,SLC15A1,6564,1.2830292614249528,4.384509575943253,15.340685178416802,8.976239460461336e-5,0.007142842550662109
ENSG00000074276.10,5348,ENSG00000074276,CDHR2,54825,1.796439869906145,4.023646749114201,15.310982039810089,9.11848623720341e-5,0.007210966880253031
ENSG00000173702.7,3499,ENSG00000173702,MUC13,56667,1.8645590818530773,7.895252911362534,15.274369953887089,9.296944775084679e-5,0.007306709930640625
ENSG00000111452.13,14718,ENSG00000111452,ADGRD1,283383,1.3065023820613948,2.439702850308989,15.256363435401923,9.385999222764367e-5,0.00733144430087337
ENSG00000179761.12,3814,ENSG00000179761,PIPOX,51268,1.4346521473431657,3.1734108886519343,15.156278060120673,9.896868613412852e-5,0.0076833494625592955
ENSG00000186314.11,5375,ENSG00000186314,PRELID2,153768,0.699419458697676,5.147544207858407,15.125519969178391,1.0059421267829494e-4,0.0077622152473942494
ENSG00000204385.12,3372,ENSG00000204385,SLC44A4,80736,0.8737618460322918,4.586637454403034,15.111394444727821,1.0134970607627271e-4,0.007773400347970507
ENSG00000140743.8,3950,ENSG00000140743,CDR2,1039,0.39633670615177563,5.018869395588533,15.0667374522007,1.0377592315964641e-4,0.00791182666867436
ENSG00000116675.16,6958,ENSG00000116675,DNAJC6,9829,0.6850232274364249,3.004385631415033,14.997297456868036,1.0766525503062746e-4,0.00814396847329717
ENSG00000068079.8,1958,ENSG00000068079,IFI35,3430,0.8511741825522059,4.310007964245071,14.989690919548355,1.0810011561319682e-4,0.00814396847329717
ENSG00000142623.11,4903,ENSG00000142623,PADI1,29943,-0.7947774969627949,4.225660167421131,14.968522823451906,1.093196091427464e-4,0.008187395668267336
ENSG00000156642.17,4032,ENSG00000156642,NPTN,27020,0.47333795855186156,5.5972937070120246,14.902786063687362,1.1319568712703496e-4,0.008428113967844498
ENSG00000145284.12,4231,ENSG00000145284,SCD5,79966,0.5212393895480818,4.539983211510539,14.861934733044674,1.1567382537937631e-4,0.008549438436729676
ENSG00000165164.14,11443,ENSG00000165164,CFAP47,286464,-0.8442241376290296,4.221701449385409,14.851950032517873,1.1628778083127723e-4,0.008549438436729676
ENSG00000077238.14,5884,ENSG00000077238,IL4R,3566,0.7260140370316531,2.647194580833711,14.843020388276894,1.1683963933325193e-4,0.008549438436729676
ENSG00000153885.14,6388,ENSG00000153885,KCTD15,79047,-0.624531479674438,4.180360059614858,14.791454148394031,1.2007843491993683e-4,0.008736220762289347
ENSG00000108679.13,3422,ENSG00000108679,LGALS3BP,3959,0.8767134911686131,4.905535484938652,14.763042085952023,1.219014135699468e-4,0.008818459077116834
ENSG00000185101.13,6207,ENSG00000185101,ANO9,338440,1.1372922944385535,2.1180869080261058,14.736794562815632,1.236102602504832e-4,0.008891558381407639
