"","NGenes","Direction","PValue","FDR"
"ZHU_CMV_8_HR_UP",40,"Up",2.61781017543253e-13,4.4514672119514e-11
"KIM_LRRC3B_TARGETS",25,"Up",3.88354741078327e-13,6.3166742885827e-11
"ZHAN_MULTIPLE_MYELOMA_LB_DN",31,"Up",9.08362414635301e-13,1.41590991381278e-10
"LIANG_SILENCED_BY_METHYLATION_2",38,"Up",1.01849032938452e-12,1.524068928891e-10
"STAMBOLSKY_TARGETS_OF_MUTATED_TP53_DN",41,"Up",1.27066210966149e-12,1.82828728932448e-10
"DER_IFN_BETA_RESPONSE_UP",95,"Up",1.96898188573046e-12,2.72813379056209e-10
"GRANDVAUX_IRF3_TARGETS_UP",14,"Up",9.70294378032227e-12,1.27139651453386e-09
"TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_UP",98,"Up",9.85578693437103e-12,1.27139651453386e-09
"TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_10D_UP",122,"Up",1.73247817827195e-11,2.16040028830512e-09
"GRANDVAUX_IFN_RESPONSE_NOT_VIA_IRF3",12,"Up",2.96030022929414e-11,3.57241392186754e-09
"REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION",94,"Down",4.73963622473926e-10,5.54093097398424e-08
"REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY",6,"Up",6.38006863389998e-10,7.23267780588479e-08
"REACTOME_PEPTIDE_CHAIN_ELONGATION",78,"Down",8.54049082160684e-10,9.3970518128327e-08
"XU_HGF_TARGETS_INDUCED_BY_AKT1_6HR",19,"Up",1.10553526547097e-09,1.18165926517912e-07
"REACTOME_INTERFERON_GAMMA_SIGNALING",39,"Up",2.03519127259539e-09,2.11490293077205e-07
"WALLACE_PROSTATE_CANCER_RACE_UP",150,"Up",3.29059717635376e-09,3.32706055047011e-07
"REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION",98,"Down",3.50880012060618e-09,3.37319864657616e-07
"MISSIAGLIA_REGULATED_BY_METHYLATION_DN",113,"Down",3.51656635168324e-09,3.37319864657616e-07
"NUYTTEN_EZH2_TARGETS_UP",885,"Up",3.78764550156192e-09,3.54239545533579e-07
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS_",88,"Down",4.05400438922789e-09,3.69903180978086e-07
"REACTOME_INTERFERON_SIGNALING",120,"Up",5.98700559875378e-09,5.33271141546141e-07
"TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_16D_UP",98,"Up",6.15322397906454e-09,5.35330486178615e-07
"KEGG_RIBOSOME",80,"Down",6.88573845299793e-09,5.85444262560574e-07
"DEBIASI_APOPTOSIS_BY_REOVIRUS_INFECTION_UP",292,"Up",1.04156434497864e-08,8.65887158792245e-07
"BECKER_TAMOXIFEN_RESISTANCE_UP",42,"Up",1.11468660166695e-08,9.06530994964361e-07
"TSAI_DNAJB4_TARGETS_UP",12,"Up",1.59782983676242e-08,1.27180455730388e-06
"REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC",18,"Up",1.81929676656737e-08,1.41791441744344e-06
"MAHADEVAN_RESPONSE_TO_MP470_UP",11,"Up",2.0305765988146e-08,1.55028307268682e-06
"KEGG_OXIDATIVE_PHOSPHORYLATION",115,"Down",2.09129603432077e-08,1.5647076928788e-06
"CHEN_HOXA5_TARGETS_9HR_UP",207,"Up",2.30864120751061e-08,1.69345622692102e-06
"HSIAO_HOUSEKEEPING_GENES",370,"Down",2.67183093538468e-08,1.92217683255271e-06
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT",72,"Down",3.61974033154548e-08,2.55499029817201e-06
"ZHANG_RESPONSE_TO_IKK_INHIBITOR_AND_TNF_UP",180,"Up",7.14921765907445e-08,4.95281912270324e-06
"REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE",101,"Down",7.40089615946347e-08,5.02210991003206e-06
"REACTOME_MRNA_SPLICING",107,"Down",7.51772667633775e-08,5.02210991003206e-06
"REACTOME_INFLUENZA_LIFE_CYCLE",128,"Down",8.6365844613027e-08,5.66832674907604e-06
"DER_IFN_GAMMA_RESPONSE_UP",63,"Up",9.98915452541423e-08,6.44300466889218e-06
"FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_DN",361,"Up",1.33019548172776e-07,8.31582586858005e-06
"CROONQUIST_IL6_DEPRIVATION_DN",91,"Down",1.33373309840899e-07,8.31582586858005e-06
"REACTOME_TRANSLATION",137,"Down",1.95344750132965e-07,1.19800772171708e-05
"LEE_EARLY_T_LYMPHOCYTE_DN",36,"Up",2.11091124226528e-07,1.27369660601846e-05
"REACTOME_NONSENSE_MEDIATED_DECAY_ENHANCED_BY_THE_EXON_JUNCTION_COMPLEX",99,"Down",2.18880162059237e-07,1.29973124803747e-05
"WONG_EMBRYONIC_STEM_CELL_CORE",326,"Down",2.45452309694864e-07,1.43474545401326e-05
"ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER",131,"Down",3.08593305240418e-07,1.77607316139139e-05
"REACTOME_MRNA_SPLICING_MINOR_PATHWAY",42,"Down",3.87026608695113e-07,2.19373718655821e-05
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM",207,"Up",4.42840346998537e-07,2.47263543003213e-05
"REACTOME_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT",122,"Down",4.70237416506027e-07,2.58699731639566e-05
"WHITEFORD_PEDIATRIC_CANCER_MARKERS",105,"Down",5.25118591168384e-07,2.84705601385641e-05
"KEGG_PARKINSONS_DISEASE",113,"Down",5.79440298590349e-07,3.09669451003785e-05
"KEGG_HUNTINGTONS_DISEASE",160,"Down",6.05542813629725e-07,3.19061361378705e-05
"REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA",136,"Down",6.2567380348966e-07,3.25089680396503e-05
"MOOTHA_VOXPHOS",84,"Down",8.21454245506628e-07,4.20967168827438e-05
"SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP",142,"Down",9.68589052032293e-07,4.89661032926055e-05
"GAURNIER_PSMD4_TARGETS",25,"Up",2.15586291575046e-06,0.000107534442237633
"WINZEN_DEGRADED_VIA_KHSRP",69,"Up",3.54086105097341e-06,0.000174294226206467
"WAMUNYOKOLI_OVARIAN_CANCER_GRADES_1_2_UP",130,"Up",4.33378365237002e-06,0.000210554346019691
"KEGG_TYPE_I_DIABETES_MELLITUS",12,"Up",4.42630764021521e-06,0.000212292524128783
"KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION",39,"Up",4.48656624197004e-06,0.000212458788749492
"PHONG_TNF_RESPONSE_VIA_P38_PARTIAL",143,"Up",4.70095913327666e-06,0.00021982860146985
"KEGG_AUTOIMMUNE_THYROID_DISEASE",10,"Up",5.16864676214435e-06,0.000238714907866445
"KIM_BIPOLAR_DISORDER_OLIGODENDROCYTE_DENSITY_CORR_UP",594,"Down",5.27645959297087e-06,0.000240505906606372
"REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL",16,"Up",5.38791037788416e-06,0.000240505906606372
"MISSIAGLIA_REGULATED_BY_METHYLATION_UP",108,"Up",5.40029301120963e-06,0.000240505906606372
"KIM_ALL_DISORDERS_DURATION_CORR_DN",130,"Down",5.73286497373217e-06,0.000252313504314495
"KIM_ALL_DISORDERS_OLIGODENDROCYTE_NUMBER_CORR_UP",638,"Down",6.09637943083372e-06,0.000265192505241267
"CHNG_MULTIPLE_MYELOMA_HYPERPLOID_UP",48,"Down",8.09692836857952e-06,0.000348167919848919
"KEGG_ALLOGRAFT_REJECTION",9,"Up",8.20167621372991e-06,0.000348664439949586
"ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_6HR",80,"Down",1.00165504198071e-05,0.000421032754162904
"KEGG_GRAFT_VERSUS_HOST_DISEASE",8,"Up",1.01933825588064e-05,0.000423704935027718
"GEISS_RESPONSE_TO_DSRNA_UP",32,"Up",1.06003238150556e-05,0.000435778147166186
"ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR",116,"Down",1.16913769595819e-05,0.000475406969628217
"KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",80,"Up",1.1882293132575e-05,0.000477974823752293
"PHONG_TNF_TARGETS_UP",52,"Up",1.30362054817352e-05,0.000518813241565652
"REACTOME_MRNA_PROCESSING",153,"Down",1.31842723669223e-05,0.000519182767627961
"DANG_MYC_TARGETS_UP",132,"Down",1.48015249922563e-05,0.000576796927041989
"REACTOME_METABOLISM_OF_MRNA",198,"Down",1.5863366947534e-05,0.000611802636605408
"ZWANG_CLASS_3_TRANSIENTLY_INDUCED_BY_EGF",199,"Up",1.77482871230869e-05,0.000677513695178247
"WIELAND_UP_BY_HBV_INFECTION",66,"Up",1.97274493437758e-05,0.000745458464596618
"REACTOME_TRANSCRIPTION_COUPLED_NER_TC_NER",42,"Down",2.03023300687466e-05,0.000759510167871812
"CROONQUIST_NRAS_SIGNALING_DN",69,"Down",2.14854128919091e-05,0.000795811184441901
"REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S",53,"Down",2.24707306021954e-05,0.000822990897725966
"CAIRO_HEPATOBLASTOMA_CLASSES_UP",580,"Down",2.26591987345027e-05,0.000822990897725966
"XU_AKT1_TARGETS_6HR",24,"Up",2.55369588583933e-05,0.000916035478976209
"SANA_RESPONSE_TO_IFNG_DN",75,"Down",2.57106990891478e-05,0.000916035478976209
"REACTOME_METABOLISM_OF_RNA",243,"Down",2.661024804596e-05,0.000939140923961663
"NUYTTEN_NIPP1_TARGETS_UP",632,"Up",2.83388931275079e-05,0.000990801861588851
"REN_BOUND_BY_E2F",57,"Down",3.043741522568e-05,0.0010543182440673
"REACTOME_MEIOTIC_RECOMBINATION",71,"Down",3.23988124921099e-05,0.00109247522194331
"DAIRKEE_TERT_TARGETS_UP",323,"Down",3.25421331974076e-05,0.00109247522194331
"LINDSTEDT_DENDRITIC_CELL_MATURATION_A",40,"Up",3.27717928253587e-05,0.00109247522194331
"REACTOME_FORMATION_OF_THE_TERNARY_COMPLEX_AND_SUBSEQUENTLY_THE_43S_COMPLEX",45,"Down",3.29867376868917e-05,0.00109247522194331
"LI_DCP2_BOUND_MRNA",83,"Down",3.29991179041951e-05,0.00109247522194331
"ZWANG_CLASS_1_TRANSIENTLY_INDUCED_BY_EGF",403,"Up",3.55789244104471e-05,0.00116755049315335
"KEGG_SPLICEOSOME",126,"Down",3.78255168152919e-05,0.00123048050787832
"AMIT_SERUM_RESPONSE_120_MCF10A",61,"Up",3.90197521100885e-05,0.00125838700555035
"FUJII_YBX1_TARGETS_UP",33,"Up",4.11561376733732e-05,0.00131594111996657
"ZHU_CMV_ALL_UP",106,"Up",4.81192641847799e-05,0.0015255437908073
"BLUM_RESPONSE_TO_SALIRASIB_DN",316,"Down",5.0669837189976e-05,0.00159290639435042
"MUELLER_PLURINET",275,"Down",5.21002635564257e-05,0.00162422571637157
"NUTT_GBM_VS_AO_GLIOMA_DN",36,"Down",5.50976541852261e-05,0.00170347375460273
"PID_CD40_PATHWAY",25,"Up",5.65729679258301e-05,0.00173474977877484
"REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION",28,"Up",5.74322962611806e-05,0.0017467822789681
"REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION",149,"Up",6.12760941926985e-05,0.00184866022882972
"ABRAMSON_INTERACT_WITH_AIRE",44,"Down",6.30726276654514e-05,0.00188763760077163
"TAKAO_RESPONSE_TO_UVB_RADIATION_UP",77,"Down",6.37571745117074e-05,0.00189298087181188
"HUANG_DASATINIB_RESISTANCE_UP",76,"Up",6.62452488338157e-05,0.00195136595186854
"GRAHAM_CML_DIVIDING_VS_NORMAL_QUIESCENT_UP",152,"Down",6.92069887710493e-05,0.00202268238275387
"PECE_MAMMARY_STEM_CELL_UP",130,"Down",7.78387243186677e-05,0.00225732300524136
"REACTOME_TRANSPORT_OF_GLUCOSE_AND_OTHER_SUGARS_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS",43,"Up",7.91495090116527e-05,0.00226894103569274
"WONG_MITOCHONDRIA_GENE_MODULE",203,"Down",7.95579924898742e-05,0.00226894103569274
"REACTOME_GENERIC_TRANSCRIPTION_PATHWAY",311,"Up",8.00588657341465e-05,0.00226894103569274
"REACTOME_NUCLEOTIDE_EXCISION_REPAIR",47,"Down",8.25110447734185e-05,0.00232085577817563
"RHODES_UNDIFFERENTIATED_CANCER",65,"Down",9.38791742679976e-05,0.00262091038012372
"REACTOME_EXTENSION_OF_TELOMERES",25,"Down",9.50356579484272e-05,0.00263354367692642
"SPIELMAN_LYMPHOBLAST_EUROPEAN_VS_ASIAN_UP",433,"Down",9.68202026385454e-05,0.00266326748581469
"SENGUPTA_NASOPHARYNGEAL_CARCINOMA_DN",277,"Down",0.000108643670766888,0.00296668592948124
"FRASOR_RESPONSE_TO_SERM_OR_FULVESTRANT_DN",45,"Down",0.000116416102711894,0.00314365406614499
"RIGGINS_TAMOXIFEN_RESISTANCE_DN",191,"Up",0.000116805109648263,0.00314365406614499
"REACTOME_RIG_I_MDA5_MEDIATED_INDUCTION_OF_IFN_ALPHA_BETA_PATHWAYS",57,"Up",0.000127356574505095,0.00340314960873971
"KANG_DOXORUBICIN_RESISTANCE_UP",51,"Down",0.000128930762631666,0.00342078002131249
"REACTOME_TRANSPORT_OF_VITAMINS_NUCLEOSIDES_AND_RELATED_MOLECULES",23,"Up",0.000131641145172652,0.0034680952400767
"AMUNDSON_GAMMA_RADIATION_RESPONSE",36,"Down",0.000138652139106364,0.00362725631046787
"HORIUCHI_WTAP_TARGETS_UP",256,"Up",0.000140039651418502,0.00363562891901383
"REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT",48,"Down",0.000140915849574179,0.00363562891901383
"LIN_APC_TARGETS",70,"Down",0.000146278444116394,0.00372888018897633
"REACTOME_TELOMERE_MAINTENANCE",70,"Down",0.000146523760432911,0.00372888018897633
"REACTOME_MEIOSIS",93,"Down",0.000148797007747633,0.00376114598637768
"REACTOME_DNA_REPAIR",101,"Down",0.0001515318453884,0.00380456801072487
"REACTOME_CELL_CYCLE",371,"Down",0.000153571735653186,0.00383007908719047
"ZHANG_RESPONSE_TO_CANTHARIDIN_DN",67,"Down",0.000158399858012305,0.00390497404099145
"REACTOME_DNA_STRAND_ELONGATION",29,"Down",0.000158662404231676,0.00390497404099145
"REACTOME_RNA_POL_I_PROMOTER_OPENING",54,"Down",0.000180903341558399,0.00442326405732008
"REACTOME_DNA_REPLICATION",175,"Down",0.000186590788274092,0.0045327022008661
"DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP",290,"Down",0.000195128075466254,0.00470951051818874
"NOJIMA_SFRP2_TARGETS_DN",22,"Up",0.000199173712833249,0.00477633884428963
"GRADE_COLON_CANCER_UP",756,"Down",0.000202112464472844,0.00481594095282107
"KOBAYASHI_EGFR_SIGNALING_24HR_DN",230,"Down",0.000209399509547479,0.00495799724820962
"WELCSH_BRCA1_TARGETS_DN",138,"Down",0.000211153782057932,0.004968089928797
"CHICAS_RB1_TARGETS_LOW_SERUM",82,"Down",0.000232268658285121,0.00543073156652899
"KAUFFMANN_DNA_REPAIR_GENES",209,"Down",0.000245809250025721,0.00571162984065977
"CHANG_CYCLING_GENES",140,"Down",0.000255044259514463,0.00588963317804694
"BUYTAERT_PHOTODYNAMIC_THERAPY_STRESS_UP",760,"Up",0.000258377875122742,0.00593001000511765
"CONCANNON_APOPTOSIS_BY_EPOXOMICIN_DN",128,"Down",0.000259982775913195,0.00593046076031259
"PEDERSEN_TARGETS_OF_611CTF_ISOFORM_OF_ERBB2",62,"Up",0.000263635195439497,0.00597633398120705
"RHEIN_ALL_GLUCOCORTICOID_THERAPY_DN",341,"Down",0.000265188837444633,0.00597633398120705
"KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS",79,"Down",0.00027388580852961,0.00613537011801959
"BASAKI_YBX1_TARGETS_UP",270,"Down",0.000276614064770979,0.00615960247802519
"FEVR_CTNNB1_TARGETS_UP",528,"Up",0.000289373916193854,0.00640560840521424
"GRAHAM_NORMAL_QUIESCENT_VS_NORMAL_DIVIDING_DN",77,"Down",0.000295801408403896,0.00650937099317044
"ZHANG_ANTIVIRAL_RESPONSE_TO_RIBAVIRIN_UP",23,"Up",0.000303452716860623,0.00663869364781048
"KUROKAWA_LIVER_CANCER_EARLY_RECURRENCE_DN",7,"Up",0.000306197377226544,0.00665979295467734
"REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR",8,"Up",0.000313307529115975,0.00677504893886049
"PRAMOONJAGO_SOX4_TARGETS_DN",46,"Down",0.0003289434433575,0.00707228403218626
"REACTOME_PREFOLDIN_MEDIATED_TRANSFER_OF_SUBSTRATE_TO_CCT_TRIC",22,"Down",0.000337916320305719,0.0072236854529354
"ISHIKAWA_STING_SIGNALING",5,"Up",0.000341215418925235,0.0072527663761324
"LY_AGING_MIDDLE_DN",15,"Down",0.000343973285324691,0.00727007943728626
"RHODES_CANCER_META_SIGNATURE",63,"Down",0.000355983564458096,0.0074816545766165
"REACTOME_CHROMOSOME_MAINTENANCE",105,"Down",0.000362857710753928,0.00757903178425755
"REACTOME_INNATE_IMMUNE_SYSTEM",161,"Up",0.000364668730597797,0.00757903178425755
"TARTE_PLASMA_CELL_VS_PLASMABLAST_DN",282,"Down",0.000380607014536375,0.00786657923414684
"KEGG_DNA_REPLICATION",33,"Down",0.000396400141791812,0.00812277920898197
"LY_AGING_OLD_DN",52,"Down",0.000397345254007939,0.00812277920898197
"HIRSCH_CELLULAR_TRANSFORMATION_SIGNATURE_UP",212,"Up",0.000407305556622834,0.00828114177894578
"OXFORD_RALA_OR_RALB_TARGETS_UP",46,"Down",0.000439155359585855,0.00888043351465234
"REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT",147,"Up",0.000441701465733568,0.00888389883499613
"KEGG_LEISHMANIA_INFECTION",39,"Up",0.000462117695620048,0.00924482513002461
"REACTOME_CELL_CYCLE_MITOTIC",291,"Down",0.000474743227258511,0.00938922841154387
"MOOTHA_MITOCHONDRIA",399,"Down",0.000475418641070934,0.00938922841154387
"REACTOME_MITOTIC_M_M_G1_PHASES",156,"Down",0.00047686538310434,0.00938922841154387
"ST_TUMOR_NECROSIS_FACTOR_PATHWAY",27,"Up",0.0004903588576136,0.00960435856718575
"CHANG_IMMORTALIZED_BY_HPV31_DN",52,"Up",0.000518487227313251,0.0100593685621812
"HOLLEMAN_VINCRISTINE_RESISTANCE_ALL_DN",18,"Down",0.000520018103061648,0.0100593685621812
"REACTOME_REPAIR_SYNTHESIS_FOR_GAP_FILLING_BY_DNA_POL_IN_TC_NER",14,"Down",0.000521656642893116,0.0100593685621812
"MANALO_HYPOXIA_DN",266,"Down",0.000525227930381461,0.0100762958336259
"REACTOME_RECRUITMENT_OF_MITOTIC_CENTROSOME_PROTEINS_AND_COMPLEXES",62,"Down",0.000529964573587867,0.0101152932132256
"BROWNE_HCMV_INFECTION_4HR_UP",46,"Up",0.000555819989426007,0.0105549369565619
"REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS",40,"Up",0.000559318996669483,0.0105677392249522
"GENTILE_UV_RESPONSE_CLUSTER_D6",33,"Up",0.000570817364229505,0.0107307927617215
"PHONG_TNF_RESPONSE_NOT_VIA_P38",299,"Up",0.000576134073539985,0.0107765878455654
"REACTOME_NEGATIVE_REGULATORS_OF_RIG_I_MDA5_SIGNALING",30,"Up",0.000583203003639739,0.010854539485653
"POMEROY_MEDULLOBLASTOMA_PROGNOSIS_DN",39,"Down",0.000631620747803755,0.011650585120638
"REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING",20,"Up",0.000632202293367954,0.011650585120638
"BROWNE_HCMV_INFECTION_12HR_UP",95,"Up",0.000642722976678164,0.0117864051752599
"REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC",16,"Down",0.000652532270123036,0.0118747604434766
"LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_DN",151,"Down",0.000653889508515419,0.0118747604434766
"BUCKANOVICH_T_LYMPHOCYTE_HOMING_ON_TUMOR_UP",18,"Up",0.000662606046022622,0.0119749237592784
"TAVOR_CEBPA_TARGETS_DN",22,"Up",0.000688055566136414,0.0123750763120977
"KEGG_NUCLEOTIDE_EXCISION_REPAIR",42,"Down",0.00070496277475391,0.0126184963653319
"PRAMOONJAGO_SOX4_TARGETS_UP",48,"Up",0.000709854175750749,0.0126455451023026
"NAGASHIMA_NRG1_SIGNALING_DN",50,"Up",0.000747413810985653,0.0132515406014091
"MOOTHA_HUMAN_MITODB_6_2002",385,"Down",0.000775146198300015,0.0136784053200017
"PUJANA_XPRSS_INT_NETWORK",163,"Down",0.000781564145729551,0.0137269083059824
"REACTOME_GLOBAL_GENOMIC_NER_GG_NER",31,"Down",0.00078954694099655,0.013802313580692
"REACTOME_CLASS_A1_RHODOPSIN_LIKE_RECEPTORS",42,"Up",0.000820518668334609,0.0142770248290222
"REACTOME_HOMOLOGOUS_RECOMBINATION_REPAIR_OF_REPLICATION_INDEPENDENT_DOUBLE_STRAND_BREAKS",16,"Down",0.000824593959985865,0.0142815092791996
"CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_2",384,"Down",0.000844646490769944,0.0145613941104625
"RAHMAN_TP53_TARGETS_PHOSPHORYLATED",21,"Down",0.000859298777692789,0.0146462584192459
"PUJANA_BRCA_CENTERED_NETWORK",117,"Down",0.000861041415199314,0.0146462584192459
"LEONARD_HYPOXIA",44,"Up",0.000861314314951642,0.0146462584192459
"MALONEY_RESPONSE_TO_17AAG_DN",77,"Down",0.000869777624702927,0.0147232492941794
"GENTILE_UV_RESPONSE_CLUSTER_D2",37,"Up",0.000879725972717409,0.0148245714591704
"LEE_EARLY_T_LYMPHOCYTE_UP",87,"Down",0.000888685720529881,0.0149084003609968
"REACTOME_GLUTATHIONE_CONJUGATION",17,"Down",0.00089985719236734,0.0150284185564563
"PENG_GLUTAMINE_DEPRIVATION_DN",315,"Down",0.000949500435959404,0.0157870272485517
"LI_AMPLIFIED_IN_LUNG_CANCER",158,"Down",0.000974992240633925,0.0161391414699625
"PAPASPYRIDONOS_UNSTABLE_ATEROSCLEROTIC_PLAQUE_UP",41,"Up",0.00098868642431993,0.0162937264906646
"REACTOME_LOSS_OF_NLP_FROM_MITOTIC_CENTROSOMES",55,"Down",0.000996951318842132,0.0163578722973176
"AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_UP",92,"Up",0.00102949921609205,0.0168181509493465
"ELVIDGE_HYPOXIA_BY_DMOG_UP",113,"Up",0.00105816227975635,0.0172112395155153
"REACTOME_SYNTHESIS_OF_DNA",84,"Down",0.00107262862537227,0.0173710116342756
"DAZARD_RESPONSE_TO_UV_SCC_DN",117,"Up",0.00108885354569395,0.017557763424315
"IIZUKA_LIVER_CANCER_PROGRESSION_G1_G2_UP",9,"Up",0.0011212746321725,0.0180029545019627
"REACTOME_MITOTIC_G2_G2_M_PHASES",75,"Down",0.00114533279931668,0.0183106410352294
"KEGG_MISMATCH_REPAIR",22,"Down",0.00116978989909128,0.0186220596276615
"NAGASHIMA_NRG1_SIGNALING_UP",163,"Up",0.00117889575826798,0.0186874958969513
"KEGG_JAK_STAT_SIGNALING_PATHWAY",77,"Up",0.00118738663172066,0.0187426725285527
"JISON_SICKLE_CELL_DISEASE_DN",159,"Down",0.00121433645921518,0.0190875323274117
"GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_BLUE_UP",122,"Up",0.00131699369917701,0.0206145331741473
"FUJII_YBX1_TARGETS_DN",190,"Down",0.00133045326358319,0.0207384402461029
"FERRANDO_T_ALL_WITH_MLL_ENL_FUSION_DN",71,"Down",0.0013880723186857,0.0215467989386025
"EGUCHI_CELL_CYCLE_RB1_TARGETS",23,"Down",0.00139534889829832,0.0215702488782398
"ZHAN_MULTIPLE_MYELOMA_PR_UP",40,"Down",0.0014060124581719,0.0216456485844489
"REACTOME_REGULATION_OF_IFNA_SIGNALING",11,"Up",0.0014286064414927,0.0219033471214106
"KEGG_CELL_ADHESION_MOLECULES_CAMS",52,"Up",0.00144007573915084,0.0219890748578094
"REACTOME_N_GLYCAN_ANTENNAE_ELONGATION_IN_THE_MEDIAL_TRANS_GOLGI",14,"Up",0.00148460027613789,0.0225767871261457
"REACTOME_DOUBLE_STRAND_BREAK_REPAIR",22,"Down",0.00149413167331446,0.0226297432788234
"DAZARD_RESPONSE_TO_UV_NHEK_DN",311,"Up",0.0015063573847693,0.0227229152275079
"REACTOME_GLUCONEOGENESIS",24,"Down",0.00153332737657807,0.0230368582962994
"KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY",47,"Up",0.00155420289993802,0.0231651820420672
