"","NGenes","Direction","PValue","FDR"
"TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_UP",98,"Up",4.93691010379767e-10,5.27685162808773e-08
"DER_IFN_GAMMA_RESPONSE_UP",63,"Up",5.84991704375065e-10,6.07903879463088e-08
"WALLACE_PROSTATE_CANCER_RACE_UP",150,"Up",7.50136222196948e-10,7.58448542496968e-08
"REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC",18,"Up",8.61488970897303e-10,8.48113221086002e-08
"REACTOME_INTERFERON_GAMMA_SIGNALING",39,"Up",1.07589922037382e-09,1.03203563677396e-07
"WAMUNYOKOLI_OVARIAN_CANCER_GRADES_1_2_UP",130,"Up",1.11376178116882e-09,1.04164570583814e-07
"BECKER_TAMOXIFEN_RESISTANCE_UP",42,"Up",1.33690765830982e-09,1.21984671944806e-07
"CROONQUIST_NRAS_SIGNALING_DN",69,"Down",1.49846185624005e-09,1.33470138195096e-07
"SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP",142,"Down",3.21231226343046e-09,2.7947116691845e-07
"ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_6HR",80,"Down",3.35540384178751e-09,2.85285585730161e-07
"TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_10D_UP",122,"Up",4.23182632333561e-09,3.51805828346634e-07
"ZHANG_RESPONSE_TO_IKK_INHIBITOR_AND_TNF_UP",180,"Up",4.4323799254199e-09,3.6046811523904e-07
"REACTOME_INTERFERON_SIGNALING",120,"Up",6.45266810222833e-09,5.13604922775238e-07
"REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY",6,"Up",6.68161287755488e-09,5.20748203644434e-07
"MISSIAGLIA_REGULATED_BY_METHYLATION_UP",108,"Up",6.82907149372967e-09,5.21378703225362e-07
"ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR",116,"Down",9.82993759880226e-09,7.35475931142385e-07
"XU_HGF_TARGETS_INDUCED_BY_AKT1_6HR",19,"Up",2.4851956261805e-08,1.8229640857924e-06
"MAHADEVAN_RESPONSE_TO_MP470_UP",11,"Up",2.85554803486701e-08,2.05434715354567e-06
"KANG_DOXORUBICIN_RESISTANCE_UP",51,"Down",3.18067243164084e-08,2.24507463523932e-06
"KOBAYASHI_EGFR_SIGNALING_24HR_DN",230,"Down",4.00782272428581e-08,2.77653052065801e-06
"GAURNIER_PSMD4_TARGETS",25,"Up",4.45754785816981e-08,3.03194300680241e-06
"NUYTTEN_EZH2_TARGETS_UP",885,"Up",4.59772969760558e-08,3.07144764263259e-06
"WIELAND_UP_BY_HBV_INFECTION",66,"Up",5.38139778124826e-08,3.53189633327189e-06
"DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP",290,"Down",7.32003085382713e-08,4.7214199007185e-06
"ABRAMSON_INTERACT_WITH_AIRE",44,"Down",8.40389035781563e-08,5.32863624213361e-06
"APPEL_IMATINIB_RESPONSE",25,"Up",8.94964886852869e-08,5.58010606952764e-06
"LI_WILMS_TUMOR_VS_FETAL_KIDNEY_1_DN",151,"Down",9.92706983746998e-08,6.08806037081561e-06
"GRAHAM_NORMAL_QUIESCENT_VS_NORMAL_DIVIDING_DN",77,"Down",1.61895367904827e-07,9.76855760212832e-06
"BLUM_RESPONSE_TO_SALIRASIB_DN",316,"Down",2.09151731069043e-07,1.24196289830046e-05
"CHANG_CYCLING_GENES",140,"Down",2.37945796304066e-07,1.39086753745861e-05
"FRASOR_RESPONSE_TO_SERM_OR_FULVESTRANT_DN",45,"Down",2.42286204223855e-07,1.39445029230991e-05
"LEE_EARLY_T_LYMPHOCYTE_DN",36,"Up",3.22158903539522e-07,1.82605523960811e-05
"TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_16D_UP",98,"Up",3.93519512029291e-07,2.19724849925608e-05
"REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL",16,"Up",4.02299179207015e-07,2.21323710207859e-05
"REN_BOUND_BY_E2F",57,"Down",5.1679834547778e-07,2.80194581222083e-05
"FUJII_YBX1_TARGETS_DN",190,"Down",5.35650727226551e-07,2.86267052936361e-05
"KEGG_TYPE_I_DIABETES_MELLITUS",12,"Up",5.75747218305436e-07,3.02788235042461e-05
"REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION",149,"Up",5.82752016120214e-07,3.02788235042461e-05
"KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION",39,"Up",6.11698514480177e-07,3.13474540091828e-05
"GRAHAM_CML_DIVIDING_VS_NORMAL_QUIESCENT_UP",152,"Down",6.28955048965388e-07,3.17962275429664e-05
"FEVR_CTNNB1_TARGETS_UP",528,"Up",6.72983743266832e-07,3.35684291141496e-05
"PHONG_TNF_TARGETS_UP",52,"Up",7.32315409651476e-07,3.60472624671865e-05
"REACTOME_MRNA_SPLICING",107,"Down",9.8491705551962e-07,4.78516195415441e-05
"FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_DN",361,"Up",1.05719662229875e-06,5.070477646179e-05
"PUJANA_XPRSS_INT_NETWORK",163,"Down",1.07322180207596e-06,5.08218071084324e-05
"REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION",28,"Up",1.09058368927623e-06,5.09984197697796e-05
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM",207,"Up",1.12631026016207e-06,5.20188479415593e-05
"REACTOME_TRANSPORT_OF_GLUCOSE_AND_OTHER_SUGARS_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS",43,"Up",1.41916596428298e-06,6.474512039491e-05
"VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_DN",100,"Up",1.44638617215863e-06,6.51919357836802e-05
"REACTOME_GLYCOSPHINGOLIPID_METABOLISM",30,"Up",1.54738272014585e-06,6.89137947150668e-05
"WONG_EMBRYONIC_STEM_CELL_CORE",326,"Down",1.5743785810561e-06,6.92911796674221e-05
"REACTOME_DNA_STRAND_ELONGATION",29,"Down",1.61203453217228e-06,7.01235021494944e-05
"ZHAN_MULTIPLE_MYELOMA_PR_UP",40,"Down",2.17437149416255e-06,9.34979742489898e-05
"WU_APOPTOSIS_BY_CDKN1A_VIA_TP53",51,"Down",2.4157841751008e-06,0.000102698279534683
"ZHU_CMV_ALL_UP",106,"Up",2.91423275011785e-06,0.00012249600806956
"CAIRO_HEPATOBLASTOMA_CLASSES_UP",580,"Down",3.41916686500724e-06,0.000142123369355468
"KEGG_GRAFT_VERSUS_HOST_DISEASE",8,"Up",3.84574777721887e-06,0.000157710003090452
"REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA",136,"Down",3.87846038073284e-06,0.000157710003090452
"PUJANA_BRCA_CENTERED_NETWORK",117,"Down",4.11626203470588e-06,0.000165579959912201
"RHODES_UNDIFFERENTIATED_CANCER",65,"Down",4.5573142400222e-06,0.000181371410339607
"REACTOME_MRNA_SPLICING_MINOR_PATHWAY",42,"Down",5.16275459701715e-06,0.000202077939245802
"PAPASPYRIDONOS_UNSTABLE_ATEROSCLEROTIC_PLAQUE_UP",41,"Up",5.18564078257069e-06,0.000202077939245802
"LEE_EARLY_T_LYMPHOCYTE_UP",87,"Down",5.29956006719526e-06,0.00020438818774616
"EGUCHI_CELL_CYCLE_RB1_TARGETS",23,"Down",5.65855454988451e-06,0.000216006658888959
"WINZEN_DEGRADED_VIA_KHSRP",69,"Up",6.6046577724261e-06,0.000246953561729779
"KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",80,"Up",6.64071255590403e-06,0.000246953561729779
"FARMER_BREAST_CANCER_CLUSTER_2",28,"Down",6.66728407770856e-06,0.000246953561729779
"JISON_SICKLE_CELL_DISEASE_UP",149,"Up",7.55431011178351e-06,0.000277065432629237
"STEIN_ESRRA_TARGETS_RESPONSIVE_TO_ESTROGEN_DN",37,"Down",7.74643002469065e-06,0.000281353346819104
"DEBIASI_APOPTOSIS_BY_REOVIRUS_INFECTION_UP",292,"Up",7.95274989111277e-06,0.000286069589833201
"WINNEPENNINCKX_MELANOMA_METASTASIS_UP",156,"Down",8.65889710172097e-06,0.000308504133881316
"MOLENAAR_TARGETS_OF_CCND1_AND_CDK4_DN",54,"Down",9.26705939657517e-06,0.000327057256628186
"GEISS_RESPONSE_TO_DSRNA_UP",32,"Up",9.66940324738467e-06,0.00033806764063987
"BASAKI_YBX1_TARGETS_UP",270,"Down",1.02665068897719e-05,0.000355620391431819
"TANG_SENESCENCE_TP53_TARGETS_DN",47,"Down",1.04320028202653e-05,0.000358037821565251
"FUJII_YBX1_TARGETS_UP",33,"Up",1.09595610013481e-05,0.000370585273899652
"REACTOME_LIPOPROTEIN_METABOLISM",21,"Up",1.10318266649743e-05,0.000370585273899652
"REACTOME_UNWINDING_OF_DNA",11,"Down",1.10947743054694e-05,0.000370585273899652
"ODONNELL_TFRC_TARGETS_DN",108,"Down",1.16093371203558e-05,0.000384340974931425
"PUJANA_BRCA2_PCC_NETWORK",381,"Down",1.17282077466918e-05,0.000384870396319071
"SONG_TARGETS_OF_IE86_CMV_PROTEIN",56,"Down",1.26912084746618e-05,0.000412850529597478
"CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_2",384,"Down",1.28136504682291e-05,0.000413093420057091
"AMUNDSON_GAMMA_RADIATION_RESPONSE",36,"Down",1.29195215575193e-05,0.000413093420057091
"NAKAYAMA_SOFT_TISSUE_TUMORS_PCA2_UP",64,"Down",1.30565211003193e-05,0.000413935978273683
"KAUFFMANN_DNA_REPAIR_GENES",209,"Down",1.42416301079505e-05,0.00044424530769546
"KEGG_AUTOIMMUNE_THYROID_DISEASE",10,"Up",1.42500499661735e-05,0.00044424530769546
"ISHIKAWA_STING_SIGNALING",5,"Up",1.71557865974001e-05,0.000528357939316985
"REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION",73,"Up",1.72305983952612e-05,0.000528357939316985
"MANALO_HYPOXIA_DN",266,"Down",1.81405763113872e-05,0.000551738991714632
"REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR",8,"Up",1.88545619909425e-05,0.000568829971033192
"REACTOME_RIG_I_MDA5_MEDIATED_INDUCTION_OF_IFN_ALPHA_BETA_PATHWAYS",57,"Up",1.91309757520625e-05,0.000572551842307727
"REACTOME_INNATE_IMMUNE_SYSTEM",161,"Up",1.95889111962328e-05,0.000579779590109678
"LY_AGING_MIDDLE_DN",15,"Down",1.96824399743195e-05,0.000579779590109678
"PHONG_TNF_RESPONSE_VIA_P38_PARTIAL",143,"Up",1.98692587811039e-05,0.000580710133594607
"KEGG_ALLOGRAFT_REJECTION",9,"Up",2.05098272353564e-05,0.000594784989825336
"REACTOME_CHYLOMICRON_MEDIATED_LIPID_TRANSPORT",12,"Up",2.1463987273189e-05,0.000617667510684616
"ZHANG_ANTIVIRAL_RESPONSE_TO_RIBAVIRIN_UP",23,"Up",2.34919717810721e-05,0.000670866155977029
"REACTOME_MITOTIC_PROMETAPHASE",80,"Down",2.43546524995506e-05,0.000690232992430446
"HIRSCH_CELLULAR_TRANSFORMATION_SIGNATURE_UP",212,"Up",2.66968755533151e-05,0.000750924898082344
"REACTOME_RECRUITMENT_OF_MITOTIC_CENTROSOME_PROTEINS_AND_COMPLEXES",62,"Down",2.70984828323499e-05,0.000756533016983739
"KEGG_SPLICEOSOME",126,"Down",2.79759711003487e-05,0.000775245243602997
"DANG_MYC_TARGETS_UP",132,"Down",2.96462041628846e-05,0.000815488601274641
"MUELLER_PLURINET",275,"Down",3.67687195830146e-05,0.00100402759094933
"LY_AGING_OLD_DN",52,"Down",3.83565622755231e-05,0.00103926910736189
"KEGG_LYSOSOME",104,"Up",3.86149173812624e-05,0.00103926910736189
"REACTOME_DNA_REPLICATION",175,"Down",3.9100662945372e-05,0.00104482557199026
"CHEN_HOXA5_TARGETS_9HR_UP",207,"Up",4.08112257059804e-05,0.00107554934910538
"REACTOME_MRNA_PROCESSING",153,"Down",4.08254497655613e-05,0.00107554934910538
"XU_AKT1_TARGETS_6HR",24,"Up",4.39370496980818e-05,0.00114943009035332
"WHITFIELD_CELL_CYCLE_LITERATURE",42,"Down",5.08290411054391e-05,0.00132049613038505
"REACTOME_CELL_CYCLE_MITOTIC",291,"Down",5.16585205667892e-05,0.00133278983062316
"RUIZ_TNC_TARGETS_DN",129,"Down",5.35747021354955e-05,0.00137276000471841
"REACTOME_SPHINGOLIPID_METABOLISM",59,"Up",5.54834720424517e-05,0.0014119977476926
"LINDSTEDT_DENDRITIC_CELL_MATURATION_A",40,"Up",5.66656001027273e-05,0.00143233790529934
"SU_TESTIS",51,"Down",5.77384965803816e-05,0.00144966252152488
"REACTOME_LOSS_OF_NLP_FROM_MITOTIC_CENTROSOMES",55,"Down",5.95902297538663e-05,0.00148618033006142
"REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION",94,"Down",6.15091705658461e-05,0.00152387951713133
"NUYTTEN_NIPP1_TARGETS_UP",632,"Up",6.25930721029724e-05,0.00154027007995852
"REACTOME_EXTENSION_OF_TELOMERES",25,"Down",6.29942053551599e-05,0.00154027007995852
"REACTOME_N_GLYCAN_ANTENNAE_ELONGATION_IN_THE_MEDIAL_TRANS_GOLGI",14,"Up",6.68824337674411e-05,0.00162472197872725
"KEGG_MISMATCH_REPAIR",22,"Down",7.3308100387781e-05,0.00176932647452057
"REACTOME_DNA_REPAIR",101,"Down",7.49630106075275e-05,0.00179767065822282
"REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT",147,"Up",7.64618405180121e-05,0.00181651518580979
"LIU_CDX2_TARGETS_UP",23,"Up",7.67199677513891e-05,0.00181651518580979
"KUROKAWA_LIVER_CANCER_EARLY_RECURRENCE_DN",7,"Up",8.02180443324772e-05,0.00188739436382262
"OXFORD_RALA_OR_RALB_TARGETS_UP",46,"Down",8.39057882706556e-05,0.00196182221200327
"REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION",98,"Down",8.90429616616778e-05,0.00206900446941824
"PUJANA_BREAST_CANCER_WITH_BRCA1_MUTATED_UP",54,"Down",9.11833445518779e-05,0.00210565982696651
"KAUFFMANN_DNA_REPLICATION_GENES",129,"Down",9.43329544388912e-05,0.00216502811383983
"KEGG_N_GLYCAN_BIOSYNTHESIS",44,"Up",9.59456613928946e-05,0.00218861414189524
"CAIRO_HEPATOBLASTOMA_DN",154,"Up",9.67387440099415e-05,0.00219333115964358
"KEGG_CELL_ADHESION_MOLECULES_CAMS",52,"Up",0.000100453774025414,0.00226384077487393
"KAUFFMANN_MELANOMA_RELAPSE_UP",60,"Down",0.000103444213142186,0.00231727425967018
"SANA_RESPONSE_TO_IFNG_DN",75,"Down",0.00010733926970571,0.00239021552362536
"REACTOME_MITOTIC_G2_G2_M_PHASES",75,"Down",0.000112480073869495,0.00248986956417622
"CROONQUIST_NRAS_VS_STROMAL_STIMULATION_DN",88,"Down",0.000119373891609757,0.00262692781477708
"SENGUPTA_NASOPHARYNGEAL_CARCINOMA_DN",277,"Down",0.000127374311445295,0.00278659239249619
"REACTOME_INFLUENZA_LIFE_CYCLE",128,"Down",0.000135421138777691,0.00294540976841479
"REACTOME_MITOTIC_M_M_G1_PHASES",156,"Down",0.000140647489000874,0.00304140032573566
"LUCAS_HNF4A_TARGETS_UP",48,"Up",0.000146011699273498,0.00312326630237705
"REACTOME_HOMOLOGOUS_RECOMBINATION_REPAIR_OF_REPLICATION_INDEPENDENT_DOUBLE_STRAND_BREAKS",16,"Down",0.00014610307482384,0.00312326630237705
"PELLICCIOTTA_HDAC_IN_ANTIGEN_PRESENTATION_DN",47,"Up",0.000150775679228696,0.00320483986360541
"KEGG_DNA_REPLICATION",33,"Down",0.000152297411947269,0.00321889614742788
"CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_UP",130,"Down",0.000153313032252243,0.00322215760480697
"REACTOME_TRANSPORT_OF_VITAMINS_NUCLEOSIDES_AND_RELATED_MOLECULES",23,"Up",0.000157327452327485,0.00328805586121297
"PID_CD40_PATHWAY",25,"Up",0.000173335115287844,0.00360248147939902
"KEGG_LEISHMANIA_INFECTION",39,"Up",0.000180381415033315,0.00372821477148969
"REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS",40,"Up",0.000183048415738887,0.00376255012790757
"PID_AURORA_B_PATHWAY",36,"Down",0.000184149189770166,0.00376449245317044
"REACTOME_DOUBLE_STRAND_BREAK_REPAIR",22,"Down",0.000190675716828484,0.0038767274818226
"REACTOME_CELL_CYCLE",371,"Down",0.00019568278881318,0.00395702331324382
"RHEIN_ALL_GLUCOCORTICOID_THERAPY_DN",341,"Down",0.000206590336655205,0.00415513144853291
"NIELSEN_SYNOVIAL_SARCOMA_DN",14,"Up",0.000208540337881948,0.00416160987435616
"IIZUKA_LIVER_CANCER_PROGRESSION_G1_G2_UP",9,"Up",0.000209359284956995,0.00416160987435616
"VALK_AML_CLUSTER_5",21,"Up",0.000210603853613813,0.00416160987435616
"SHEDDEN_LUNG_CANCER_POOR_SURVIVAL_A6",408,"Down",0.00021136216950753,0.00416160987435616
"WELCSH_BRCA1_TARGETS_DN",138,"Down",0.000217663617726302,0.00426324394719422
"HSIAO_LIVER_SPECIFIC_GENES",113,"Up",0.000220261299538102,0.00426845296239843
"DOUGLAS_BMI1_TARGETS_DN",288,"Up",0.000220995025145904,0.00426845296239843
"PID_ATR_PATHWAY",38,"Down",0.000221352546031889,0.00426845296239843
"YEMELYANOV_GR_TARGETS_DN",8,"Up",0.000226781876492543,0.00435072307671079
"ODONNELL_TARGETS_OF_MYC_AND_TFRC_DN",42,"Down",0.000270024813668919,0.00515389197926239
"HORIUCHI_WTAP_TARGETS_UP",256,"Up",0.000275778647825154,0.00523699452545128
"REACTOME_PEPTIDE_CHAIN_ELONGATION",78,"Down",0.00028541060012157,0.00539253058108481
"WANG_BARRETTS_ESOPHAGUS_AND_ESOPHAGUS_CANCER_DN",32,"Down",0.000294266101871052,0.00553190697034977
"REACTOME_NEGATIVE_REGULATORS_OF_RIG_I_MDA5_SIGNALING",30,"Up",0.000310043384652027,0.00579936150991617
"FERREIRA_EWINGS_SARCOMA_UNSTABLE_VS_STABLE_UP",153,"Down",0.000340326760868253,0.00633414135526435
"HORIUCHI_WTAP_TARGETS_DN",279,"Down",0.000348723648900244,0.00645829292344462
"BROWNE_HCMV_INFECTION_12HR_UP",95,"Up",0.000365119630441529,0.00672863318956533
"AMIT_SERUM_RESPONSE_120_MCF10A",61,"Up",0.000382363654060707,0.00701187465608384
"SMID_BREAST_CANCER_LUMINAL_A_DN",17,"Down",0.000385123416506486,0.0070280326885403
"REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM",21,"Up",0.000400011597822908,0.00726428828861893
"HELLEBREKERS_SILENCED_DURING_TUMOR_ANGIOGENESIS",64,"Up",0.000402819939865,0.00727994876828486
"CONCANNON_APOPTOSIS_BY_EPOXOMICIN_DN",128,"Down",0.000427594945896062,0.00767375961989037
"ANASTASSIOU_CANCER_MESENCHYMAL_TRANSITION_SIGNATURE",34,"Down",0.000429029787599073,0.00767375961989037
"MITSIADES_RESPONSE_TO_APLIDIN_DN",241,"Down",0.000431265608901877,0.00767375961989037
"REACTOME_PHOSPHOLIPID_METABOLISM",164,"Up",0.000433761889312762,0.00767375961989037
"NOJIMA_SFRP2_TARGETS_DN",22,"Up",0.000435594327253493,0.00767375961989037
"REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING",20,"Up",0.000436918149969701,0.00767375961989037
"ZHU_CMV_24_HR_UP",86,"Up",0.000443763071572345,0.00775755911566422
"BOYAULT_LIVER_CANCER_SUBCLASS_G123_UP",45,"Down",0.000448214779085102,0.00779893715608077
"KEGG_SPHINGOLIPID_METABOLISM",35,"Up",0.000452667883425883,0.00783995625877883
"REACTOME_TRANSCRIPTION_COUPLED_NER_TC_NER",42,"Down",0.000456568167873723,0.0078710668940811
"KEGG_O_GLYCAN_BIOSYNTHESIS",19,"Up",0.000465168461378918,0.00798254685329602
"FERRARI_RESPONSE_TO_FENRETINIDE_UP",19,"Up",0.00057514589574265,0.00982475249302855
"TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_10D_DN",82,"Up",0.000588856945941524,0.0100062342521661
"REACTOME_REGULATORY_RNA_PATHWAYS",25,"Down",0.000591119425214837,0.0100062342521661
"WOO_LIVER_CANCER_RECURRENCE_DN",54,"Up",0.000593937011763906,0.0100086412658053
"REACTOME_NONSENSE_MEDIATED_DECAY_ENHANCED_BY_THE_EXON_JUNCTION_COMPLEX",99,"Down",0.000600260589882466,0.0100698424517951
"REACTOME_NUCLEOTIDE_EXCISION_REPAIR",47,"Down",0.000623603289606783,0.0104147317250847
"BHATTACHARYA_EMBRYONIC_STEM_CELL",77,"Down",0.000629799486936594,0.0104714661361324
"RUTELLA_RESPONSE_TO_HGF_VS_CSF2RB_AND_IL4_UP",318,"Up",0.000634383809177699,0.0105010169474946
"GHANDHI_BYSTANDER_IRRADIATION_UP",56,"Up",0.000639253205530661,0.0105350054708819
"REACTOME_METAL_ION_SLC_TRANSPORTERS",16,"Up",0.000655280010622262,0.0107517654374468
"REACTOME_N_GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE",13,"Up",0.000659765452261066,0.01077808976816
"REACTOME_REPAIR_SYNTHESIS_FOR_GAP_FILLING_BY_DNA_POL_IN_TC_NER",14,"Down",0.000668999011455032,0.0108814143558838
"KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY",47,"Up",0.000675313859306729,0.0109365763968246
"BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_UP",163,"Up",0.000699649347480079,0.0112818457281163
"KEGG_JAK_STAT_SIGNALING_PATHWAY",77,"Up",0.00070284845985495,0.0112847900786153
"LI_WILMS_TUMOR_ANAPLASTIC_UP",16,"Down",0.000724584951949262,0.0115277657046024
"FEVR_CTNNB1_TARGETS_DN",509,"Down",0.000732463282272767,0.0115277657046024
"REACTOME_TRANSLATION",137,"Down",0.000733693365485263,0.0115277657046024
"KEGG_NUCLEOTIDE_EXCISION_REPAIR",42,"Down",0.000734776988937746,0.0115277657046024
"BIOCARTA_TOLL_PATHWAY",30,"Up",0.000735857028763787,0.0115277657046024
"BROWNE_HCMV_INFECTION_6HR_UP",45,"Up",0.000736470463352039,0.0115277657046024
"REACTOME_ZINC_TRANSPORTERS",10,"Up",0.000761846502413286,0.0118752823563671
"REACTOME_TRANSMEMBRANE_TRANSPORT_OF_SMALL_MOLECULES",239,"Up",0.000769946961099798,0.0119517493007234
"PATTERSON_DOCETAXEL_RESISTANCE",24,"Up",0.000831363372261118,0.0128517784116894
"REACTOME_CLASS_A1_RHODOPSIN_LIKE_RECEPTORS",42,"Up",0.000882174813845563,0.0135811357143879
"MATTIOLI_MULTIPLE_MYELOMA_SUBGROUPS",10,"Down",0.00089019034075655,0.0136483691179109
"SMIRNOV_RESPONSE_TO_IR_6HR_UP",144,"Up",0.000908172474490818,0.0138299476090012
"CHICAS_RB1_TARGETS_GROWING",197,"Down",0.000912085597338508,0.0138299476090012
"REACTOME_EXTRINSIC_PATHWAY_FOR_APOPTOSIS",11,"Up",0.000913124046892089,0.0138299476090012
"BENPORATH_PROLIFERATION",137,"Down",0.000939429655547492,0.0141709933121096
"REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES",55,"Up",0.000967463422540499,0.014535263709735
"KEGG_RIBOSOME",80,"Down",0.000985235987116171,0.0147364244130896
"RODRIGUES_NTN1_TARGETS_DN",136,"Up",0.000988730961690853,0.0147364244130896
